taxa,W,p_val,q_val,diff_abn,meta_col
Paraburkholderia fungorum...1,2369.59492705127,0,0,TRUE,site_supplying_sample
Paraburkholderia xenovorans...2,1431.81258446092,6.26286937715772e-306,8.06413711837565e-306,TRUE,site_supplying_sample
Paraburkholderia hospita...3,660.279540707966,4.59352543614609e-139,4.82859446809818e-139,TRUE,site_supplying_sample
Ralstonia pickettii...4,3803.04508030157,0,0,TRUE,site_supplying_sample
Ralstonia insidiosa...5,11006.3824014201,0,0,TRUE,site_supplying_sample
Ralstonia mannitolilytica...6,4609.95840939566,0,0,TRUE,site_supplying_sample
Ralstonia solanacearum...7,5302.45723636536,0,0,TRUE,site_supplying_sample
Burkholderia cepacia...8,4335.34767150261,0,0,TRUE,site_supplying_sample
Burkholderia sp. LA-2-3-30-S1-D2...9,2308.28471755811,0,0,TRUE,site_supplying_sample
Burkholderia metallica...10,1130.00497428313,1.34330801990817e-240,1.57199450587109e-240,TRUE,site_supplying_sample
Burkholderia contaminans...11,2846.87878762745,0,0,TRUE,site_supplying_sample
Burkholderia gladioli...12,9847.3649493604,0,0,TRUE,site_supplying_sample
Burkholderia thailandensis...13,729.653553707264,4.83390586124051e-154,5.16207928668253e-154,TRUE,site_supplying_sample
Burkholderia sp. OLGA172...14,1222.55349762803,1.25828137327794e-260,1.51305735381769e-260,TRUE,site_supplying_sample
Bordetella genomosp. 8...15,1835.61049570632,0,0,TRUE,site_supplying_sample
Bordetella genomosp. 13...16,14540.9158237011,0,0,TRUE,site_supplying_sample
Acidovorax sp. RAC01...17,3324.50104233185,0,0,TRUE,site_supplying_sample
Acidovorax sp. 1608163...18,3620.30092551228,0,0,TRUE,site_supplying_sample
Diaphorobacter polyhydroxybutyrativorans...19,929.354532621075,3.3837592172112e-197,3.77510772731678e-197,TRUE,site_supplying_sample
Massilia sp. WG5...20,8254.72578366109,0,0,TRUE,site_supplying_sample
Aromatoleum aromaticum...21,4071.00449868486,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. SK17...22,58167.3504576965,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. BTAi1...23,46329.7238196142,0,0,TRUE,site_supplying_sample
Bradyrhizobium erythrophlei...24,35114.9065534265,0,0,TRUE,site_supplying_sample
Bradyrhizobium icense...25,36656.2486129469,0,0,TRUE,site_supplying_sample
Bradyrhizobium diazoefficiens...26,46012.8785688429,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. WSM471...27,10420.0660915604,0,0,TRUE,site_supplying_sample
Bradyrhizobium ottawaense...28,26795.8880191468,0,0,TRUE,site_supplying_sample
Rhodopseudomonas palustris...29,97958.7439110862,0,0,TRUE,site_supplying_sample
Oligotropha carboxidovorans...30,30202.0768426599,0,0,TRUE,site_supplying_sample
Afipia sp. GAS231...31,26431.2234127171,0,0,TRUE,site_supplying_sample
Methylobacterium radiotolerans...32,9954.51247219718,0,0,TRUE,site_supplying_sample
Methylobacterium sp. C1...33,8743.52704957271,0,0,TRUE,site_supplying_sample
Methylobacterium sp. 4-46...34,20976.8878042142,0,0,TRUE,site_supplying_sample
Methylorubrum populi...35,23499.9453145423,0,0,TRUE,site_supplying_sample
Rhizobium tropici...36,4886.79494440476,0,0,TRUE,site_supplying_sample
Rhizobium sp. 11515TR...37,3695.18390387158,0,0,TRUE,site_supplying_sample
Rhizobium etli...38,9080.96472203553,0,0,TRUE,site_supplying_sample
Rhizobium sp. NXC24...39,2792.85138704194,0,0,TRUE,site_supplying_sample
Rhizobium jaguaris...40,4452.95837967401,0,0,TRUE,site_supplying_sample
Agrobacterium tumefaciens...41,25818.3984087839,0,0,TRUE,site_supplying_sample
Sinorhizobium americanum...42,5557.35579281525,0,0,TRUE,site_supplying_sample
Mesorhizobium oceanicum...43,12660.66938426,0,0,TRUE,site_supplying_sample
Paracoccus zhejiangensis...44,2640.67198837609,0,0,TRUE,site_supplying_sample
Paracoccus contaminans...45,3214.90382747499,0,0,TRUE,site_supplying_sample
Altererythrobacter sp. B11...46,24071.309052032,0,0,TRUE,site_supplying_sample
Nocardia sp. CFHS0054...47,1471.80841682806,1.11253761262367e-308,1.11253781768558e-308,TRUE,site_supplying_sample
Cutibacterium acnes...48,15757.3741439469,0,0,TRUE,site_supplying_sample
Kribbella flavida...49,432.786418969245,4.96734515033147e-90,5.06895653563924e-90,TRUE,site_supplying_sample
Saccharopolyspora erythraea...50,2580.77529513205,0,0,TRUE,site_supplying_sample
Nocardiopsis gilva...51,1390.6733459799,5.06709780927348e-297,6.46249289626844e-297,TRUE,site_supplying_sample
Sphingobacterium sp. ML3W...52,2334.3568803639,0,0,TRUE,site_supplying_sample
Sphingobium sp. YG1...53,14412.2902708357,0,0,TRUE,site_supplying_sample
Sphingobium yanoikuyae...54,18522.8846548123,0,0,TRUE,site_supplying_sample
Sphingobium sp. RAC03...55,7962.20430604579,0,0,TRUE,site_supplying_sample
Sphingobium hydrophobicum...56,8659.13314942548,0,0,TRUE,site_supplying_sample
Sphingobium baderi...57,9470.07342070701,0,0,TRUE,site_supplying_sample
Sphingobium sp. SCG-1...58,6651.31183768061,0,0,TRUE,site_supplying_sample
Sphingobium sp. EP60837...59,5778.04572837684,0,0,TRUE,site_supplying_sample
Sphingobium cloacae...60,10398.7303616718,0,0,TRUE,site_supplying_sample
Sphingobium sp. TKS...61,11730.9180864961,0,0,TRUE,site_supplying_sample
Sphingobium sp. MI1205...62,7567.6049435689,0,0,TRUE,site_supplying_sample
Sphingobium sp. SYK-6...63,9422.83022170489,0,0,TRUE,site_supplying_sample
Sphingobium herbicidovorans...64,5696.3736289041,0,0,TRUE,site_supplying_sample
Sphingobium sp. YBL2...65,7812.40924374263,0,0,TRUE,site_supplying_sample
Sphingobium amiense...66,11770.9002022882,0,0,TRUE,site_supplying_sample
Sphingobium chlorophenolicum...67,5870.32068244044,0,0,TRUE,site_supplying_sample
Sphingobium japonicum...68,4653.26726620425,0,0,TRUE,site_supplying_sample
Sphingobium sp. LF-16...69,6873.75266431214,0,0,TRUE,site_supplying_sample
Sphingobium indicum...70,4332.34268598021,0,0,TRUE,site_supplying_sample
Sphingomonas sp. LM7...71,13523.293197476,0,0,TRUE,site_supplying_sample
Sphingomonas hengshuiensis...72,15567.693638515,0,0,TRUE,site_supplying_sample
Sphingomonas sp. Cra20...73,14719.0560241727,0,0,TRUE,site_supplying_sample
Sphingomonas koreensis...74,14965.3828133373,0,0,TRUE,site_supplying_sample
Sphingomonas sp. FARSPH...75,20337.0175870046,0,0,TRUE,site_supplying_sample
Sphingomonas sanxanigenens...76,16266.8882805634,0,0,TRUE,site_supplying_sample
Sphingomonas sp. LK11...77,23541.1421212692,0,0,TRUE,site_supplying_sample
Sphingomonas wittichii...78,14538.8050826634,0,0,TRUE,site_supplying_sample
Sphingomonas sp. NIC1...79,11320.17180004,0,0,TRUE,site_supplying_sample
Sphingomonas melonis...80,33715.3219685665,0,0,TRUE,site_supplying_sample
Sphingomonas panacis...81,12984.9847055614,0,0,TRUE,site_supplying_sample
Sphingomonas taxi...82,14857.8022657313,0,0,TRUE,site_supplying_sample
Sphingomonas sp. MM-1...83,13893.5735570393,0,0,TRUE,site_supplying_sample
Sphingomonas indica...84,8925.44979115067,0,0,TRUE,site_supplying_sample
Sphingomonas sp. JJ-A5...85,9321.52307723993,0,0,TRUE,site_supplying_sample
Sphingomonas sp. KC8...86,9412.40423814607,0,0,TRUE,site_supplying_sample
Sphingomonas sp. C8-2...87,8866.91275853037,0,0,TRUE,site_supplying_sample
Sphingomonas sp. YZ-8...88,5048.50721002265,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. WS5A3p...89,8779.18011308693,0,0,TRUE,site_supplying_sample
Sphingopyxis fribergensis...90,7780.62894295553,0,0,TRUE,site_supplying_sample
Sphingopyxis macrogoltabida...91,12973.4445680986,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. FD7...92,7085.09835221415,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. QXT-31...93,9019.04580836911,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. 113P3...94,8160.82348578662,0,0,TRUE,site_supplying_sample
Sphingopyxis terrae...95,7930.663513828,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. EG6...96,7670.51087203812,0,0,TRUE,site_supplying_sample
Sphingopyxis alaskensis...97,7534.30400692249,0,0,TRUE,site_supplying_sample
Sphingopyxis granuli...98,14668.1767612575,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. MG...99,3929.99201974377,0,0,TRUE,site_supplying_sample
Sphingopyxis sp. LPB0140...100,5479.88797580529,0,0,TRUE,site_supplying_sample
Novosphingobium sp. P6W...101,12130.5618155927,0,0,TRUE,site_supplying_sample
Novosphingobium resinovorum...102,13116.1646138906,0,0,TRUE,site_supplying_sample
Novosphingobium pentaromativorans...103,6265.93284891878,0,0,TRUE,site_supplying_sample
Novosphingobium sp. PP1Y...104,4768.08680405986,0,0,TRUE,site_supplying_sample
Novosphingobium aromaticivorans...105,11187.2551819127,0,0,TRUE,site_supplying_sample
Novosphingobium sp. THN1...106,9573.16084892547,0,0,TRUE,site_supplying_sample
Novosphingobium tardaugens...107,6690.14175971196,0,0,TRUE,site_supplying_sample
Rhizorhabdus dicambivorans...108,16288.5571657309,0,0,TRUE,site_supplying_sample
Blastomonas fulva...109,5171.40586104956,0,0,TRUE,site_supplying_sample
Blastomonas sp. RAC04...110,4581.51005369379,0,0,TRUE,site_supplying_sample
Sphingorhabdus sp. M41...111,4516.24046776536,0,0,TRUE,site_supplying_sample
Sphingorhabdus flavimaris...112,3909.53167399567,0,0,TRUE,site_supplying_sample
Sphingorhabdus sp. YGSMI21...113,4966.95234878019,0,0,TRUE,site_supplying_sample
Sphingorhabdus sp. Alg231-15...114,4055.12627600217,0,0,TRUE,site_supplying_sample
Citromicrobium sp. JL477...115,6945.95916895896,0,0,TRUE,site_supplying_sample
Sphingosinicella microcystinivorans...116,9510.34388676487,0,0,TRUE,site_supplying_sample
Erythrobacter litoralis...117,6175.99403099204,0,0,TRUE,site_supplying_sample
Erythrobacter sp. YH-07...118,5337.56848569314,0,0,TRUE,site_supplying_sample
Erythrobacter flavus...119,4834.83496608989,0,0,TRUE,site_supplying_sample
Erythrobacter sp. HL-111...120,5174.66351639868,0,0,TRUE,site_supplying_sample
Erythrobacter atlanticus...121,4309.17606928795,0,0,TRUE,site_supplying_sample
Erythrobacter sp. KY5...122,4004.07942500103,0,0,TRUE,site_supplying_sample
Erythrobacter seohaensis...123,4665.61372971169,0,0,TRUE,site_supplying_sample
Erythrobacter gangjinensis...124,3541.42415933888,0,0,TRUE,site_supplying_sample
Altererythrobacter atlanticus...125,6038.71388642171,0,0,TRUE,site_supplying_sample
Altererythrobacter dongtanensis...126,5582.99081003132,0,0,TRUE,site_supplying_sample
Altererythrobacter marensis...127,4768.50583051103,0,0,TRUE,site_supplying_sample
Altererythrobacter mangrovi...128,4340.23024067723,0,0,TRUE,site_supplying_sample
Altererythrobacter namhicola...129,3940.59629428372,0,0,TRUE,site_supplying_sample
Altererythrobacter epoxidivorans...130,4423.6084997062,0,0,TRUE,site_supplying_sample
Altererythrobacter sp. NS1...131,5172.81946870625,0,0,TRUE,site_supplying_sample
Porphyrobacter sp. CACIAM 03H1...132,8388.53405238286,0,0,TRUE,site_supplying_sample
Porphyrobacter HT-58-2...133,4495.96685819825,0,0,TRUE,site_supplying_sample
Porphyrobacter neustonensis...134,6115.12376233018,0,0,TRUE,site_supplying_sample
Porphyrobacter sp. LM 6...135,5380.97365742444,0,0,TRUE,site_supplying_sample
Croceicoccus marinus...136,7148.499475921,0,0,TRUE,site_supplying_sample
Croceicoccus naphthovorans...137,5512.49283211329,0,0,TRUE,site_supplying_sample
Bradyrhizobium lablabi...138,34809.5020505475,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. ORS 285...139,47651.7515274133,0,0,TRUE,site_supplying_sample
Bradyrhizobium japonicum...140,35095.3341765072,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. CCGE-LA001...141,30589.2542912599,0,0,TRUE,site_supplying_sample
Bradyrhizobium oligotrophicum...142,32751.2995788724,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp....143,20961.4980348957,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. ORS 3257...144,30235.4780143479,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. ORS 278...145,43386.7225644094,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. 2 39S1MB...146,20343.4196168338,0,0,TRUE,site_supplying_sample
Bradyrhizobium sp. S23321...147,30063.3414731161,0,0,TRUE,site_supplying_sample
Bradyrhizobiaceae bacterium SG-6C...148,41376.4243399712,0,0,TRUE,site_supplying_sample
Bosea sp. AS-1...149,44626.1612844826,0,0,TRUE,site_supplying_sample
Bosea vaviloviae...150,37318.6525158497,0,0,TRUE,site_supplying_sample
Bosea sp. Tri-49...151,27714.7640069125,0,0,TRUE,site_supplying_sample
Bosea sp. PAMC 26642...152,33222.2757845091,0,0,TRUE,site_supplying_sample
Nitrobacter hamburgensis...153,26350.5305387766,0,0,TRUE,site_supplying_sample
Nitrobacter winogradskyi...154,17632.2765391202,0,0,TRUE,site_supplying_sample
Methylobacterium currus...155,32336.1735451349,0,0,TRUE,site_supplying_sample
Methylobacterium brachiatum...156,25812.262811652,0,0,TRUE,site_supplying_sample
Methylobacterium sp. 17Sr1-1...157,18447.6874217646,0,0,TRUE,site_supplying_sample
Methylobacterium sp. 17Sr1-43...158,17236.0129382428,0,0,TRUE,site_supplying_sample
Methylobacterium sp. AMS5...159,7940.85414126426,0,0,TRUE,site_supplying_sample
Methylorubrum extorquens...160,29360.8758791627,0,0,TRUE,site_supplying_sample
Mesorhizobium loti...161,13629.6881662266,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. DCY119...162,6740.06776367475,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1...163,3337.69952532144,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1...164,4818.97671696538,0,0,TRUE,site_supplying_sample
Mesorhizobium australicum...165,3417.19934265388,0,0,TRUE,site_supplying_sample
Mesorhizobium japonicum...166,3031.93013216155,0,0,TRUE,site_supplying_sample
Mesorhizobium opportunistum...167,3613.69889588521,0,0,TRUE,site_supplying_sample
Mesorhizobium amorphae...168,7228.25504345127,0,0,TRUE,site_supplying_sample
Mesorhizobium ciceri...169,7000.81026664952,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1...170,6583.30758052625,0,0,TRUE,site_supplying_sample
Mesorhizobium huakuii...171,1047.39911100839,9.99990419897379e-223,1.1471637799874e-222,TRUE,site_supplying_sample
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1...172,7276.7098935659,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1...173,6777.23374318333,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. WSM1497...174,2476.56715255606,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1...175,5006.24678107198,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1...176,3152.11243816497,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2...177,1583.81759734491,0,0,TRUE,site_supplying_sample
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1...178,4009.09897142618,0,0,TRUE,site_supplying_sample
Aminobacter sp. MSH1...179,11772.2235740452,0,0,TRUE,site_supplying_sample
Aminobacter aminovorans...180,7324.60472239642,0,0,TRUE,site_supplying_sample
