Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	260.0	670.0	82.0	nan	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	342.0	764.0	48.0	2.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	227.0	857.0	34.0	nan	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	156.0	985.0	19.0	1.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	156.0	693.0	21.0	nan	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	1645.0	989.0	2.0	nan	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	167.0	566.0	70.0	nan	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	155.0	786.0	46.0	nan	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	167.0	846.0	70.0	nan	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	102.0	860.0	27.0	nan	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	200.0	535.0	28.0	nan	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	1652.0	560.0	2.0	nan	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	2261.0	646.0	nan	1.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	2595.0	573.0	nan	nan	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	4045.0	731.0	3.0	nan	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	1311.0	618.0	nan	nan	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	2434.0	678.0	1.0	nan	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	3616.0	693.0	3.0	nan	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	2448.0	604.0	2.0	nan	21262.0
MUX10013.WHB7734.unmapped-both-read-and-mate	179.0	883.0	3.0	nan	33301.0
MUX10013.WHB7735.unmapped-both-read-and-mate	29.0	950.0	nan	nan	43532.0
MUX10013.WHB7738.unmapped-both-read-and-mate	77.0	756.0	nan	nan	33130.0
MUX10013.WHB7739.unmapped-both-read-and-mate	838.0	1044.0	2.0	4.0	38305.0
MUX10013.WHB7740.unmapped-both-read-and-mate	48.0	1153.0	3.0	nan	46099.0
MUX10014.WHB7741.unmapped-both-read-and-mate	90.0	801.0	15.0	nan	35200.0
MUX10014.WHB7742.unmapped-both-read-and-mate	49.0	1107.0	1.0	1.0	44691.0
