Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	nan	67.0	670.0	1.0	75.0	199.0	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	1.0	41.0	764.0	1.0	136.0	213.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	6.0	28.0	857.0	2.0	63.0	162.0	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	3.0	35.0	985.0	nan	24.0	114.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	nan	34.0	693.0	nan	49.0	94.0	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	14.0	19.0	989.0	2.0	1258.0	354.0	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	5.0	42.0	566.0	nan	29.0	161.0	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	2.0	30.0	786.0	nan	31.0	138.0	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	3.0	19.0	846.0	1.0	25.0	189.0	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	4.0	13.0	860.0	nan	16.0	96.0	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	1.0	13.0	535.0	2.0	42.0	170.0	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	12.0	16.0	560.0	6.0	1231.0	389.0	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	9.0	30.0	646.0	8.0	1684.0	531.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	18.0	25.0	573.0	nan	2020.0	532.0	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	28.0	44.0	731.0	4.0	3077.0	895.0	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	7.0	8.0	618.0	2.0	988.0	306.0	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	13.0	35.0	678.0	6.0	1854.0	527.0	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	18.0	41.0	693.0	3.0	2762.0	795.0	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	9.0	37.0	604.0	8.0	1885.0	511.0	21262.0
