Sample	Pseudomonas	Homo	Sphingomonas	Sphingobium	Alcaligenes	Other	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	nan	670.0	38.0	8.0	nan	296.0	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	1.0	764.0	28.0	8.0	nan	355.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	6.0	857.0	19.0	4.0	nan	232.0	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	3.0	985.0	25.0	3.0	nan	145.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	nan	693.0	23.0	2.0	nan	152.0	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	14.0	989.0	3.0	5.0	nan	1625.0	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	5.0	566.0	22.0	13.0	nan	197.0	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	2.0	786.0	21.0	2.0	nan	176.0	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	3.0	846.0	15.0	2.0	nan	217.0	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	4.0	860.0	10.0	2.0	nan	113.0	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	nan	535.0	6.0	5.0	nan	217.0	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	12.0	560.0	3.0	3.0	nan	1636.0	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	9.0	646.0	12.0	4.0	1.0	2236.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	18.0	573.0	6.0	7.0	nan	2564.0	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	28.0	731.0	16.0	11.0	nan	3993.0	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	7.0	618.0	2.0	1.0	nan	1301.0	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	11.0	678.0	10.0	9.0	nan	2405.0	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	18.0	693.0	3.0	4.0	nan	3594.0	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	9.0	604.0	12.0	5.0	nan	2424.0	21262.0
MUX10013.WHB7734.unmapped-both-read-and-mate	5.0	883.0	1.0	nan	2.0	174.0	33301.0
MUX10013.WHB7735.unmapped-both-read-and-mate	nan	950.0	nan	nan	nan	29.0	43532.0
MUX10013.WHB7738.unmapped-both-read-and-mate	1.0	756.0	nan	nan	nan	76.0	33130.0
MUX10013.WHB7739.unmapped-both-read-and-mate	24.0	1044.0	27.0	11.0	nan	782.0	38305.0
MUX10013.WHB7740.unmapped-both-read-and-mate	7.0	1153.0	1.0	nan	nan	43.0	46099.0
MUX10014.WHB7741.unmapped-both-read-and-mate	6.0	801.0	1.0	nan	nan	98.0	35200.0
MUX10014.WHB7742.unmapped-both-read-and-mate	nan	1107.0	nan	nan	nan	51.0	44691.0
MUX10014.WHB7743.unmapped-both-read-and-mate	3.0	885.0	nan	nan	nan	70.0	37154.0
MUX10014.WHB7744.unmapped-both-read-and-mate	3.0	1254.0	1.0	nan	nan	31.0	52760.0
MUX10014.WHB7745.unmapped-both-read-and-mate	4.0	1245.0	3.0	3.0	nan	128.0	49552.0
MUX10015.WHB6446.unmapped-both-read-and-mate	16.0	871.0	14.0	14.0	2.0	4469.0	37514.0
MUX10015.WHB6447.unmapped-both-read-and-mate	8.0	685.0	3.0	5.0	nan	2028.0	27101.0
MUX10015.WHB6448.unmapped-both-read-and-mate	24.0	908.0	9.0	8.0	3.0	3676.0	44489.0
MUX10015.WHB6449.unmapped-both-read-and-mate	16.0	721.0	3.0	8.0	1.0	2228.0	36287.0
MUX10015.WHB6450.unmapped-both-read-and-mate	16.0	717.0	12.0	9.0	nan	3922.0	29798.0
MUX10016.WHB6451.unmapped-both-read-and-mate	8.0	825.0	5.0	11.0	nan	1788.0	35288.0
MUX10016.WHB6453.unmapped-both-read-and-mate	18.0	840.0	9.0	5.0	nan	3342.0	38072.0
MUX10016.WHB6454.unmapped-both-read-and-mate	11.0	1028.0	11.0	4.0	nan	3680.0	49776.0
MUX10016.WHB6455.unmapped-both-read-and-mate	10.0	790.0	6.0	5.0	nan	2113.0	33941.0
MUX10016.WHB6456.unmapped-both-read-and-mate	8.0	900.0	12.0	12.0	nan	2760.0	42305.0
MUX10017.WHB6457.unmapped-both-read-and-mate	14.0	505.0	6.0	5.0	nan	2898.0	8671.0
MUX10017.WHB6458.unmapped-both-read-and-mate	10.0	519.0	4.0	7.0	nan	1771.0	8703.0
MUX10017.WHB6459.unmapped-both-read-and-mate	32.0	550.0	9.0	10.0	nan	36361.0	19378.0
MUX10017.WHB6460.unmapped-both-read-and-mate	19.0	505.0	2.0	2.0	nan	3145.0	9327.0
MUX10017.WHB6462.unmapped-both-read-and-mate	5.0	374.0	2.0	4.0	nan	1288.0	6853.0
MUX10018.WHB6463.unmapped-both-read-and-mate	106.0	376.0	15.0	8.0	nan	2633.0	7778.0
MUX10018.WHB6464.unmapped-both-read-and-mate	4.0	418.0	2.0	2.0	nan	1441.0	7276.0
MUX10018.WHB6465.unmapped-both-read-and-mate	5.0	532.0	5.0	5.0	1.0	1682.0	7980.0
MUX10018.WHB6466.unmapped-both-read-and-mate	7.0	435.0	1.0	3.0	nan	1737.0	7461.0
MUX10018.WHB6467.unmapped-both-read-and-mate	16.0	485.0	7.0	6.0	nan	2441.0	8915.0
MUX10019.WHB6468.unmapped-both-read-and-mate	18.0	406.0	10.0	6.0	nan	2276.0	9920.0
MUX10019.WHB6469.unmapped-both-read-and-mate	11.0	397.0	3.0	1.0	1.0	1306.0	9567.0
MUX10019.WHB6470.unmapped-both-read-and-mate	5.0	459.0	3.0	7.0	nan	1154.0	9282.0
MUX10019.WHB6471.unmapped-both-read-and-mate	10.0	513.0	6.0	3.0	nan	2200.0	10558.0
MUX10019.WHB6472.unmapped-both-read-and-mate	12.0	510.0	9.0	5.0	1.0	1897.0	12002.0
MUX10020.WHB6473.unmapped-both-read-and-mate	15.0	464.0	3.0	4.0	nan	1700.0	7897.0
MUX10020.WHB6474.unmapped-both-read-and-mate	11.0	445.0	10.0	3.0	nan	1607.0	7794.0
MUX10020.WHB6475.unmapped-both-read-and-mate	12.0	609.0	2.0	8.0	nan	1806.0	9631.0
MUX10020.WHB6476.unmapped-both-read-and-mate	11.0	559.0	5.0	6.0	nan	1805.0	10768.0
MUX10020.WHB6477.unmapped-both-read-and-mate	16.0	383.0	16.0	10.0	nan	2752.0	7561.0
MUX10021.WHB6478.unmapped-both-read-and-mate	12.0	478.0	10.0	6.0	nan	1985.0	9506.0
MUX10021.WHB6479.unmapped-both-read-and-mate	8.0	603.0	6.0	7.0	nan	1919.0	13590.0
MUX10021.WHB6480.unmapped-both-read-and-mate	7.0	512.0	1.0	2.0	nan	1403.0	10136.0
MUX10021.WHB6482.unmapped-both-read-and-mate	11.0	535.0	3.0	1.0	nan	2013.0	11591.0
MUX10021.WHB6483.unmapped-both-read-and-mate	5.0	565.0	3.0	4.0	nan	2203.0	12202.0
MUX10022.WHB6485.unmapped-both-read-and-mate	18.0	328.0	6.0	8.0	nan	2140.0	7640.0
MUX10022.WHB6486.unmapped-both-read-and-mate	15.0	354.0	9.0	5.0	nan	1815.0	7768.0
MUX10022.WHB6489.unmapped-both-read-and-mate	13.0	531.0	2.0	7.0	1.0	1650.0	12468.0
MUX10022.WHB6490.unmapped-both-read-and-mate	14.0	557.0	11.0	7.0	nan	1914.0	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	4.0	413.0	5.0	1.0	nan	1418.0	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	19.0	600.0	2.0	2.0	nan	1636.0	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	35.0	424.0	13.0	9.0	nan	5310.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	10.0	505.0	6.0	3.0	nan	2234.0	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	12.0	453.0	nan	6.0	nan	1428.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	13.0	450.0	3.0	2.0	nan	1696.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	9.0	503.0	4.0	6.0	nan	1410.0	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	32.0	434.0	9.0	14.0	1.0	4694.0	11290.0
MUX10024.WHB6501.unmapped-both-read-and-mate	11.0	527.0	3.0	1.0	nan	1555.0	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	12.0	517.0	7.0	5.0	nan	1772.0	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	22.0	511.0	13.0	10.0	nan	3606.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	24.0	535.0	18.0	13.0	nan	4420.0	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	8.0	447.0	10.0	4.0	1.0	1858.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	12.0	398.0	6.0	6.0	nan	1924.0	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	12.0	448.0	5.0	4.0	nan	1458.0	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	25.0	623.0	3.0	5.0	nan	1844.0	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	7.0	435.0	8.0	3.0	nan	1412.0	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	9.0	466.0	5.0	1.0	nan	1501.0	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	18.0	575.0	10.0	4.0	nan	1700.0	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	14.0	625.0	7.0	3.0	nan	1688.0	7816.0
MUX10027.WHB6516.unmapped-both-read-and-mate	13.0	578.0	4.0	3.0	nan	1480.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	37.0	657.0	18.0	3.0	nan	2822.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	19.0	628.0	9.0	6.0	nan	1777.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	9.0	552.0	2.0	4.0	nan	1626.0	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	11.0	430.0	7.0	2.0	nan	1822.0	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	21.0	344.0	5.0	2.0	nan	1433.0	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	21.0	312.0	3.0	2.0	nan	1397.0	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	11.0	430.0	4.0	3.0	nan	1948.0	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	10.0	372.0	5.0	5.0	nan	1559.0	4658.0
MUX10029.WHB6525.unmapped-both-read-and-mate	12.0	419.0	2.0	1.0	nan	1799.0	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	10.0	400.0	2.0	1.0	nan	1137.0	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	18.0	401.0	4.0	5.0	nan	1920.0	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	7.0	313.0	3.0	5.0	1.0	1459.0	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	20.0	356.0	9.0	7.0	nan	4000.0	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	15.0	430.0	9.0	2.0	nan	3433.0	6750.0
MUX10030.WHB6531.unmapped-both-read-and-mate	16.0	406.0	7.0	11.0	nan	2578.0	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	17.0	376.0	14.0	9.0	nan	3619.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	12.0	449.0	10.0	1.0	nan	1490.0	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	13.0	436.0	9.0	8.0	1.0	2180.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	3.0	392.0	6.0	3.0	nan	1578.0	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	10.0	453.0	5.0	5.0	nan	1512.0	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	9.0	379.0	3.0	2.0	1.0	1398.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	15.0	478.0	5.0	2.0	nan	1782.0	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	11.0	352.0	6.0	3.0	nan	1284.0	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	10.0	322.0	8.0	10.0	nan	3367.0	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	10.0	347.0	6.0	5.0	nan	1473.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	10.0	379.0	4.0	4.0	nan	1684.0	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	8.0	331.0	2.0	nan	1.0	1399.0	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	33.0	326.0	15.0	9.0	1.0	6241.0	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	8.0	1108.0	4.0	5.0	nan	1550.0	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	10.0	1468.0	1.0	nan	nan	2054.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	6.0	1199.0	6.0	7.0	1.0	1554.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	11.0	1086.0	3.0	4.0	nan	1089.0	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	10.0	1383.0	9.0	6.0	nan	2371.0	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	13.0	1376.0	4.0	1.0	nan	1664.0	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	13.0	1258.0	2.0	2.0	nan	1753.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	10.0	1289.0	3.0	3.0	1.0	1448.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	9.0	1399.0	9.0	9.0	1.0	2290.0	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	11.0	1196.0	5.0	3.0	nan	1393.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	10.0	1456.0	2.0	6.0	nan	2059.0	39820.0
MUX10035.WHB6560.unmapped-both-read-and-mate	12.0	1429.0	3.0	4.0	nan	1613.0	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	11.0	1307.0	1.0	4.0	nan	1405.0	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	8.0	1310.0	2.0	3.0	nan	1471.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	13.0	1390.0	1.0	3.0	nan	1278.0	37160.0
MUX10036.WHB6564.unmapped-both-read-and-mate	11.0	832.0	7.0	5.0	nan	1903.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	3.0	893.0	4.0	6.0	nan	1526.0	25789.0
MUX10036.WHB6566.unmapped-both-read-and-mate	3.0	844.0	5.0	nan	nan	1270.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	10.0	882.0	4.0	6.0	nan	1558.0	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	27.0	965.0	14.0	12.0	nan	4805.0	31092.0
