Sample	Metazoa	Other	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	670.0	342.0	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	764.0	392.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	857.0	261.0	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	985.0	176.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	693.0	177.0	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	989.0	1647.0	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	566.0	237.0	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	786.0	201.0	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	846.0	237.0	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	860.0	129.0	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	535.0	228.0	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	560.0	1654.0	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	646.0	2262.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	573.0	2595.0	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	731.0	4048.0	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	618.0	1311.0	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	678.0	2435.0	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	693.0	3619.0	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	604.0	2450.0	21262.0
MUX10013.WHB7734.unmapped-both-read-and-mate	883.0	182.0	33301.0
MUX10013.WHB7735.unmapped-both-read-and-mate	950.0	29.0	43532.0
MUX10013.WHB7738.unmapped-both-read-and-mate	756.0	77.0	33130.0
MUX10013.WHB7739.unmapped-both-read-and-mate	1044.0	844.0	38305.0
MUX10013.WHB7740.unmapped-both-read-and-mate	1153.0	51.0	46099.0
MUX10014.WHB7741.unmapped-both-read-and-mate	801.0	105.0	35200.0
MUX10014.WHB7742.unmapped-both-read-and-mate	1107.0	51.0	44691.0
MUX10014.WHB7743.unmapped-both-read-and-mate	885.0	73.0	37154.0
MUX10014.WHB7744.unmapped-both-read-and-mate	1254.0	35.0	52760.0
MUX10014.WHB7745.unmapped-both-read-and-mate	1245.0	138.0	49552.0
MUX10015.WHB6446.unmapped-both-read-and-mate	871.0	4515.0	37514.0
MUX10015.WHB6447.unmapped-both-read-and-mate	685.0	2044.0	27101.0
MUX10015.WHB6448.unmapped-both-read-and-mate	908.0	3720.0	44489.0
MUX10015.WHB6449.unmapped-both-read-and-mate	721.0	2256.0	36287.0
MUX10015.WHB6450.unmapped-both-read-and-mate	717.0	3959.0	29798.0
MUX10016.WHB6451.unmapped-both-read-and-mate	825.0	1812.0	35288.0
MUX10016.WHB6453.unmapped-both-read-and-mate	840.0	3374.0	38072.0
MUX10016.WHB6454.unmapped-both-read-and-mate	1028.0	3706.0	49776.0
MUX10016.WHB6455.unmapped-both-read-and-mate	790.0	2134.0	33941.0
MUX10016.WHB6456.unmapped-both-read-and-mate	900.0	2792.0	42305.0
MUX10017.WHB6457.unmapped-both-read-and-mate	505.0	2923.0	8671.0
MUX10017.WHB6458.unmapped-both-read-and-mate	519.0	1792.0	8703.0
MUX10017.WHB6459.unmapped-both-read-and-mate	550.0	36412.0	19378.0
MUX10017.WHB6460.unmapped-both-read-and-mate	505.0	3168.0	9327.0
MUX10017.WHB6462.unmapped-both-read-and-mate	374.0	1299.0	6853.0
MUX10018.WHB6463.unmapped-both-read-and-mate	376.0	2762.0	7778.0
MUX10018.WHB6464.unmapped-both-read-and-mate	418.0	1449.0	7276.0
MUX10018.WHB6465.unmapped-both-read-and-mate	532.0	1698.0	7980.0
MUX10018.WHB6466.unmapped-both-read-and-mate	435.0	1748.0	7461.0
MUX10018.WHB6467.unmapped-both-read-and-mate	485.0	2470.0	8915.0
MUX10019.WHB6468.unmapped-both-read-and-mate	406.0	2310.0	9920.0
MUX10019.WHB6469.unmapped-both-read-and-mate	397.0	1322.0	9567.0
MUX10019.WHB6470.unmapped-both-read-and-mate	459.0	1169.0	9282.0
MUX10019.WHB6471.unmapped-both-read-and-mate	513.0	2219.0	10558.0
MUX10019.WHB6472.unmapped-both-read-and-mate	510.0	1924.0	12002.0
MUX10020.WHB6473.unmapped-both-read-and-mate	464.0	1722.0	7897.0
MUX10020.WHB6474.unmapped-both-read-and-mate	445.0	1631.0	7794.0
MUX10020.WHB6475.unmapped-both-read-and-mate	609.0	1828.0	9631.0
MUX10020.WHB6476.unmapped-both-read-and-mate	559.0	1827.0	10768.0
MUX10020.WHB6477.unmapped-both-read-and-mate	383.0	2794.0	7561.0
MUX10021.WHB6478.unmapped-both-read-and-mate	478.0	2013.0	9506.0
MUX10021.WHB6479.unmapped-both-read-and-mate	603.0	1940.0	13590.0
MUX10021.WHB6480.unmapped-both-read-and-mate	512.0	1413.0	10136.0
MUX10021.WHB6482.unmapped-both-read-and-mate	535.0	2028.0	11591.0
MUX10021.WHB6483.unmapped-both-read-and-mate	565.0	2215.0	12202.0
MUX10022.WHB6485.unmapped-both-read-and-mate	328.0	2172.0	7640.0
MUX10022.WHB6486.unmapped-both-read-and-mate	354.0	1844.0	7768.0
MUX10022.WHB6489.unmapped-both-read-and-mate	531.0	1673.0	12468.0
MUX10022.WHB6490.unmapped-both-read-and-mate	557.0	1946.0	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	413.0	1428.0	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	600.0	1659.0	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	424.0	5367.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	505.0	2253.0	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	453.0	1446.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	450.0	1714.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	503.0	1429.0	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	434.0	4750.0	11290.0
MUX10024.WHB6501.unmapped-both-read-and-mate	527.0	1570.0	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	517.0	1796.0	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	511.0	3651.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	535.0	4475.0	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	447.0	1881.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	398.0	1948.0	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	448.0	1479.0	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	623.0	1877.0	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	435.0	1430.0	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	466.0	1516.0	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	575.0	1732.0	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	625.0	1712.0	7816.0
MUX10027.WHB6516.unmapped-both-read-and-mate	578.0	1500.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	657.0	2880.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	628.0	1811.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	552.0	1641.0	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	430.0	1842.0	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	344.0	1461.0	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	312.0	1423.0	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	430.0	1966.0	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	372.0	1579.0	4658.0
MUX10029.WHB6525.unmapped-both-read-and-mate	419.0	1814.0	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	400.0	1150.0	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	401.0	1947.0	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	313.0	1475.0	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	356.0	4036.0	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	430.0	3459.0	6750.0
MUX10030.WHB6531.unmapped-both-read-and-mate	406.0	2612.0	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	376.0	3659.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	449.0	1513.0	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	436.0	2211.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	392.0	1590.0	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	453.0	1532.0	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	379.0	1413.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	478.0	1804.0	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	352.0	1304.0	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	322.0	3395.0	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	347.0	1494.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	379.0	1702.0	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	331.0	1410.0	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	326.0	6299.0	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	1108.0	1567.0	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	1468.0	2065.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	1199.0	1574.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	1086.0	1107.0	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	1383.0	2396.0	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	1376.0	1682.0	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	1258.0	1770.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	1289.0	1465.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	1399.0	2318.0	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	1196.0	1412.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	1456.0	2077.0	39820.0
MUX10035.WHB6560.unmapped-both-read-and-mate	1429.0	1632.0	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	1307.0	1421.0	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	1310.0	1484.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	1390.0	1295.0	37160.0
MUX10036.WHB6564.unmapped-both-read-and-mate	832.0	1926.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	893.0	1539.0	25789.0
MUX10036.WHB6566.unmapped-both-read-and-mate	844.0	1278.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	882.0	1578.0	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	965.0	4858.0	31092.0
MUX10037.WHB6569.unmapped-both-read-and-mate	1131.0	2782.0	29850.0
MUX10037.WHB6571.unmapped-both-read-and-mate	1006.0	1719.0	28019.0
MUX10037.WHB6572.unmapped-both-read-and-mate	1408.0	4562.0	44849.0
MUX10037.WHB6573.unmapped-both-read-and-mate	1055.0	1621.0	31157.0
MUX10038.WHB6574.unmapped-both-read-and-mate	828.0	2109.0	23101.0
MUX10038.WHB6575.unmapped-both-read-and-mate	1130.0	1555.0	32009.0
MUX10038.WHB6577.unmapped-both-read-and-mate	959.0	2692.0	27990.0
MUX10038.WHB6578.unmapped-both-read-and-mate	1155.0	1842.0	35859.0
MUX10038.WHB6583.unmapped-both-read-and-mate	1237.0	2852.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	1123.0	2443.0	31525.0
MUX10039.WHB6584.unmapped-both-read-and-mate	997.0	1683.0	29467.0
MUX10039.WHB6585.unmapped-both-read-and-mate	1267.0	1761.0	33684.0
MUX10039.WHB6587.unmapped-both-read-and-mate	1084.0	1411.0	33169.0
MUX10039.WHB6588.unmapped-both-read-and-mate	1102.0	1320.0	31202.0
MUX10040.WHB6461.unmapped-both-read-and-mate	666.0	1864.0	18323.0
MUX10040.WHB6481.unmapped-both-read-and-mate	715.0	975.0	19469.0
MUX10040.WHB6484.unmapped-both-read-and-mate	766.0	2987.0	24598.0
MUX10040.WHB6492.unmapped-both-read-and-mate	718.0	2498.0	26989.0
MUX10040.WHB6512.unmapped-both-read-and-mate	804.0	1496.0	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	513.0	1753.0	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	355.0	1291.0	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	501.0	1554.0	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	472.0	3931.0	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	388.0	2188.0	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	575.0	1461.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	471.0	943.0	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	542.0	1764.0	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	506.0	1516.0	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	483.0	1447.0	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	576.0	5397.0	12209.0
MUX10043.WHB7556.unmapped-both-read-and-mate	493.0	7235.0	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	524.0	3136.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	567.0	3033.0	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	545.0	5097.0	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	582.0	7543.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	362.0	3301.0	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	515.0	1685.0	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	537.0	7123.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	467.0	7477.0	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	581.0	4511.0	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	544.0	3177.0	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	497.0	3146.0	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	554.0	1779.0	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	412.0	7148.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	520.0	2032.0	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	573.0	3880.0	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	566.0	4405.0	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	465.0	1658.0	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	443.0	3179.0	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	472.0	1972.0	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	435.0	1228.0	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	476.0	5025.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	400.0	3019.0	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	417.0	2634.0	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	439.0	1554.0	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	473.0	2136.0	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	799.0	2982.0	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	831.0	2528.0	33364.0
MUX10049.WHB7593.unmapped-both-read-and-mate	756.0	2148.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	866.0	2748.0	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	747.0	2081.0	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	764.0	1373.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	866.0	1670.0	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	1075.0	2113.0	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	773.0	3208.0	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	1038.0	2057.0	47264.0
MUX10051.WHB7602.unmapped-both-read-and-mate	956.0	2726.0	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	825.0	2239.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	751.0	2792.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	838.0	2485.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	893.0	3248.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	1100.0	2599.0	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	812.0	1358.0	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	710.0	2771.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	956.0	2021.0	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	1247.0	3260.0	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	1284.0	2336.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	1092.0	2414.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	1365.0	2570.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	1135.0	4126.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	1265.0	3068.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	765.0	5799.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	1154.0	2012.0	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	1331.0	4309.0	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	1147.0	4086.0	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	1029.0	2001.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	1105.0	7098.0	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	1017.0	4503.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	1040.0	2440.0	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	911.0	2505.0	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	843.0	2559.0	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	1213.0	2217.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	866.0	2557.0	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	1392.0	2463.0	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	820.0	2941.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	585.0	1805.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	517.0	1589.0	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	621.0	3059.0	22606.0
MUX10057.WHB7637.unmapped-both-read-and-mate	611.0	3151.0	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	640.0	2182.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	536.0	1821.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	493.0	1808.0	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	526.0	2295.0	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	539.0	1987.0	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	475.0	1650.0	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	427.0	2753.0	9840.0
MUX10059.WHB7645.unmapped-both-read-and-mate	461.0	2019.0	8608.0
MUX10059.WHB7646.unmapped-both-read-and-mate	512.0	3358.0	11664.0
MUX10059.WHB7647.unmapped-both-read-and-mate	439.0	2279.0	8058.0
MUX10059.WHB7648.unmapped-both-read-and-mate	465.0	2360.0	10989.0
MUX10060.WHB6580.unmapped-both-read-and-mate	460.0	1103.0	10060.0
MUX10060.WHB6581.unmapped-both-read-and-mate	544.0	1577.0	12722.0
MUX10060.WHB6589.unmapped-both-read-and-mate	714.0	1499.0	15592.0
MUX10060.WHB6590.unmapped-both-read-and-mate	600.0	1686.0	12541.0
MUX10060.WHB7649.unmapped-both-read-and-mate	517.0	3121.0	12762.0
MUX10061.WHB6593.unmapped-both-read-and-mate	449.0	2208.0	12574.0
MUX10061.WHB6594.unmapped-both-read-and-mate	563.0	2844.0	15787.0
MUX10061.WHB6595.unmapped-both-read-and-mate	562.0	1271.0	13446.0
MUX10061.WHB6599.unmapped-both-read-and-mate	504.0	1372.0	13433.0
MUX10061.WHB6601.unmapped-both-read-and-mate	540.0	1658.0	16475.0
MUX10062.WHB6597.unmapped-both-read-and-mate	704.0	2785.0	15010.0
MUX10062.WHB6598.unmapped-both-read-and-mate	512.0	2294.0	11337.0
MUX10062.WHB6600.unmapped-both-read-and-mate	537.0	1692.0	13913.0
MUX10062.WHB6602.unmapped-both-read-and-mate	566.0	2488.0	14212.0
MUX10062.WHB6603.unmapped-both-read-and-mate	546.0	1213.0	12646.0
MUX10063.WHB6605.unmapped-both-read-and-mate	509.0	3428.0	12518.0
MUX10063.WHB6607.unmapped-both-read-and-mate	557.0	3545.0	13262.0
MUX10063.WHB6610.unmapped-both-read-and-mate	508.0	1574.0	12713.0
MUX10063.WHB6611.unmapped-both-read-and-mate	494.0	3416.0	12382.0
MUX10063.WHB6612.unmapped-both-read-and-mate	536.0	2232.0	13091.0
MUX10064.WHB6606.unmapped-both-read-and-mate	618.0	2959.0	13850.0
MUX10064.WHB6609.unmapped-both-read-and-mate	727.0	3327.0	15059.0
MUX10064.WHB6613.unmapped-both-read-and-mate	476.0	1597.0	11359.0
MUX10064.WHB6614.unmapped-both-read-and-mate	532.0	1457.0	10049.0
