Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	233.0	670.0	9.0	8.0	3.0	89.0	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	306.0	764.0	16.0	13.0	2.0	55.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	181.0	857.0	32.0	8.0	nan	40.0	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	119.0	985.0	10.0	17.0	2.0	28.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	125.0	693.0	17.0	4.0	4.0	27.0	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	1597.0	989.0	27.0	7.0	1.0	15.0	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	145.0	566.0	11.0	5.0	2.0	74.0	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	123.0	786.0	14.0	9.0	1.0	54.0	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	122.0	846.0	28.0	10.0	2.0	75.0	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	70.0	860.0	11.0	12.0	3.0	33.0	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	112.0	535.0	60.0	18.0	6.0	32.0	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	1595.0	560.0	29.0	14.0	nan	16.0	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	2203.0	646.0	30.0	11.0	3.0	15.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	2533.0	573.0	31.0	7.0	3.0	21.0	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	3951.0	731.0	54.0	12.0	2.0	29.0	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	1280.0	618.0	14.0	8.0	1.0	8.0	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	2386.0	678.0	26.0	7.0	2.0	14.0	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	3535.0	693.0	53.0	10.0	nan	21.0	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	2380.0	604.0	34.0	15.0	1.0	20.0	21262.0
MUX10013.WHB7734.unmapped-both-read-and-mate	47.0	883.0	122.0	3.0	2.0	8.0	33301.0
MUX10013.WHB7735.unmapped-both-read-and-mate	13.0	950.0	5.0	5.0	1.0	5.0	43532.0
