Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Achromobacter xylosoxidans	Other	Unclassified
MUX10000.WHB6375.unmapped-both-read-and-mate	nan	670.0	nan	7.0	nan	335.0	21837.0
MUX10000.WHB6377.unmapped-both-read-and-mate	nan	764.0	nan	nan	nan	392.0	24036.0
MUX10000.WHB6378.unmapped-both-read-and-mate	1.0	857.0	nan	3.0	nan	257.0	33512.0
MUX10000.WHB6380.unmapped-both-read-and-mate	nan	985.0	nan	nan	nan	176.0	36128.0
MUX10000.WHB6381.unmapped-both-read-and-mate	nan	693.0	nan	nan	nan	177.0	28105.0
MUX10001.WHB6300.unmapped-both-read-and-mate	nan	989.0	nan	1.0	nan	1646.0	33886.0
MUX10001.WHB6385.unmapped-both-read-and-mate	nan	566.0	nan	3.0	nan	234.0	21552.0
MUX10001.WHB6386.unmapped-both-read-and-mate	nan	786.0	nan	nan	nan	201.0	28304.0
MUX10001.WHB6388.unmapped-both-read-and-mate	nan	846.0	nan	nan	nan	237.0	22020.0
MUX10001.WHB6389.unmapped-both-read-and-mate	nan	860.0	nan	nan	nan	129.0	28472.0
MUX10002.WHB6392.unmapped-both-read-and-mate	nan	535.0	nan	1.0	nan	227.0	20968.0
MUX10002.WHB6439.unmapped-both-read-and-mate	nan	560.0	nan	nan	1.0	1653.0	17798.0
MUX10002.WHB6440.unmapped-both-read-and-mate	1.0	646.0	1.0	nan	nan	2260.0	21114.0
MUX10002.WHB6441.unmapped-both-read-and-mate	nan	573.0	nan	2.0	nan	2593.0	17649.0
MUX10002.WHB6443.unmapped-both-read-and-mate	nan	731.0	nan	nan	nan	4048.0	27201.0
MUX10003.WHB6436.unmapped-both-read-and-mate	nan	618.0	nan	nan	nan	1311.0	18580.0
MUX10003.WHB6438.unmapped-both-read-and-mate	nan	678.0	nan	nan	nan	2435.0	22137.0
MUX10003.WHB6442.unmapped-both-read-and-mate	nan	693.0	nan	nan	nan	3619.0	23513.0
MUX10003.WHB6445.unmapped-both-read-and-mate	nan	604.0	nan	nan	1.0	2449.0	21262.0
MUX10013.WHB7734.unmapped-both-read-and-mate	nan	883.0	1.0	nan	nan	181.0	33301.0
MUX10013.WHB7735.unmapped-both-read-and-mate	nan	950.0	nan	nan	nan	29.0	43532.0
MUX10013.WHB7738.unmapped-both-read-and-mate	nan	756.0	nan	nan	nan	77.0	33130.0
MUX10013.WHB7739.unmapped-both-read-and-mate	1.0	1044.0	nan	nan	1.0	842.0	38305.0
MUX10013.WHB7740.unmapped-both-read-and-mate	nan	1153.0	nan	nan	nan	51.0	46099.0
MUX10014.WHB7741.unmapped-both-read-and-mate	nan	801.0	nan	nan	nan	105.0	35200.0
MUX10014.WHB7742.unmapped-both-read-and-mate	nan	1107.0	nan	nan	nan	51.0	44691.0
MUX10014.WHB7743.unmapped-both-read-and-mate	nan	885.0	nan	nan	nan	73.0	37154.0
MUX10014.WHB7744.unmapped-both-read-and-mate	nan	1254.0	nan	nan	nan	35.0	52760.0
MUX10014.WHB7745.unmapped-both-read-and-mate	nan	1245.0	nan	nan	nan	138.0	49552.0
MUX10015.WHB6446.unmapped-both-read-and-mate	1.0	871.0	2.0	nan	nan	4512.0	37514.0
MUX10015.WHB6447.unmapped-both-read-and-mate	nan	685.0	nan	nan	nan	2044.0	27101.0
MUX10015.WHB6448.unmapped-both-read-and-mate	nan	908.0	3.0	nan	3.0	3714.0	44489.0
MUX10015.WHB6449.unmapped-both-read-and-mate	nan	721.0	1.0	1.0	1.0	2253.0	36287.0
MUX10015.WHB6450.unmapped-both-read-and-mate	nan	717.0	nan	nan	2.0	3957.0	29798.0
MUX10016.WHB6451.unmapped-both-read-and-mate	nan	825.0	nan	2.0	nan	1810.0	35288.0
MUX10016.WHB6453.unmapped-both-read-and-mate	nan	840.0	nan	2.0	4.0	3368.0	38072.0
MUX10016.WHB6454.unmapped-both-read-and-mate	nan	1028.0	nan	1.0	nan	3705.0	49776.0
MUX10016.WHB6455.unmapped-both-read-and-mate	nan	790.0	nan	nan	1.0	2133.0	33941.0
MUX10016.WHB6456.unmapped-both-read-and-mate	nan	900.0	nan	1.0	nan	2791.0	42305.0
MUX10017.WHB6457.unmapped-both-read-and-mate	3.0	505.0	nan	nan	1.0	2919.0	8671.0
MUX10017.WHB6458.unmapped-both-read-and-mate	nan	519.0	nan	nan	nan	1792.0	8703.0
MUX10017.WHB6459.unmapped-both-read-and-mate	1.0	550.0	nan	nan	3.0	36408.0	19378.0
MUX10017.WHB6460.unmapped-both-read-and-mate	2.0	505.0	nan	nan	nan	3166.0	9327.0
MUX10017.WHB6462.unmapped-both-read-and-mate	nan	374.0	nan	nan	nan	1299.0	6853.0
MUX10018.WHB6463.unmapped-both-read-and-mate	nan	376.0	nan	nan	nan	2762.0	7778.0
MUX10018.WHB6464.unmapped-both-read-and-mate	nan	418.0	nan	nan	nan	1449.0	7276.0
MUX10018.WHB6465.unmapped-both-read-and-mate	nan	532.0	1.0	nan	2.0	1695.0	7980.0
MUX10018.WHB6466.unmapped-both-read-and-mate	nan	435.0	nan	nan	nan	1748.0	7461.0
MUX10018.WHB6467.unmapped-both-read-and-mate	nan	485.0	nan	nan	2.0	2468.0	8915.0
MUX10019.WHB6468.unmapped-both-read-and-mate	nan	406.0	nan	nan	nan	2310.0	9920.0
MUX10019.WHB6469.unmapped-both-read-and-mate	1.0	397.0	1.0	nan	nan	1320.0	9567.0
MUX10019.WHB6470.unmapped-both-read-and-mate	nan	459.0	nan	1.0	nan	1168.0	9282.0
