#Insert size (bp)	insert size
72.0	1.0
124.0	1.0
125.0	1.0
128.0	1.0
137.0	1.0
145.0	1.0
148.0	1.0
155.0	2.0
157.0	2.0
163.0	2.0
164.0	1.0
172.0	1.0
174.0	1.0
175.0	2.0
177.0	1.0
180.0	1.0
181.0	1.0
182.0	2.0
183.0	1.0
184.0	2.0
186.0	1.0
187.0	1.0
188.0	1.0
190.0	2.0
191.0	3.0
193.0	1.0
194.0	3.0
196.0	2.0
197.0	2.0
200.0	2.0
201.0	1.0
202.0	2.0
203.0	1.0
204.0	2.0
205.0	1.0
206.0	1.0
207.0	4.0
208.0	2.0
209.0	3.0
210.0	5.0
211.0	7.0
212.0	3.0
213.0	3.0
214.0	2.0
215.0	5.0
216.0	1.0
218.0	4.0
219.0	3.0
220.0	3.0
221.0	9.0
222.0	4.0
223.0	2.0
224.0	3.0
225.0	1.0
226.0	1.0
227.0	4.0
228.0	3.0
229.0	3.0
230.0	2.0
231.0	6.0
232.0	5.0
233.0	6.0
234.0	6.0
235.0	3.0
236.0	5.0
237.0	3.0
238.0	5.0
239.0	3.0
240.0	4.0
241.0	2.0
242.0	3.0
243.0	3.0
244.0	3.0
245.0	5.0
246.0	6.0
247.0	9.0
248.0	3.0
249.0	3.0
250.0	7.0
251.0	5.0
252.0	8.0
253.0	7.0
254.0	5.0
255.0	4.0
256.0	7.0
257.0	2.0
258.0	5.0
259.0	5.0
260.0	7.0
261.0	3.0
262.0	5.0
263.0	1.0
264.0	7.0
265.0	9.0
266.0	5.0
267.0	12.0
268.0	9.0
269.0	9.0
270.0	3.0
271.0	8.0
272.0	15.0
273.0	7.0
274.0	7.0
275.0	6.0
276.0	3.0
277.0	13.0
278.0	5.0
279.0	10.0
280.0	9.0
281.0	15.0
282.0	11.0
283.0	10.0
284.0	9.0
285.0	8.0
286.0	8.0
287.0	7.0
288.0	15.0
289.0	6.0
290.0	19.0
291.0	11.0
292.0	13.0
293.0	12.0
294.0	12.0
295.0	6.0
296.0	8.0
297.0	6.0
298.0	13.0
299.0	10.0
300.0	13.0
301.0	10.0
302.0	8.0
303.0	12.0
304.0	9.0
305.0	14.0
306.0	5.0
307.0	11.0
308.0	10.0
309.0	11.0
310.0	11.0
311.0	10.0
312.0	8.0
313.0	9.0
314.0	15.0
315.0	11.0
316.0	10.0
317.0	7.0
318.0	14.0
319.0	17.0
320.0	12.0
321.0	10.0
322.0	9.0
323.0	9.0
324.0	9.0
325.0	10.0
326.0	9.0
327.0	4.0
328.0	7.0
329.0	7.0
330.0	12.0
331.0	11.0
332.0	9.0
333.0	16.0
334.0	7.0
335.0	10.0
336.0	14.0
337.0	13.0
338.0	15.0
339.0	8.0
340.0	10.0
341.0	13.0
342.0	10.0
343.0	13.0
344.0	15.0
345.0	11.0
346.0	12.0
347.0	9.0
348.0	8.0
349.0	9.0
350.0	14.0
351.0	7.0
352.0	13.0
353.0	15.0
354.0	5.0
355.0	9.0
356.0	11.0
357.0	7.0
358.0	12.0
359.0	3.0
360.0	13.0
361.0	11.0
362.0	9.0
363.0	9.0
364.0	10.0
365.0	9.0
366.0	11.0
367.0	5.0
368.0	8.0
369.0	9.0
370.0	8.0
371.0	8.0
372.0	7.0
373.0	5.0
374.0	6.0
375.0	7.0
376.0	9.0
377.0	7.0
378.0	10.0
379.0	11.0
380.0	5.0
381.0	10.0
382.0	10.0
383.0	5.0
384.0	6.0
385.0	12.0
386.0	11.0
387.0	3.0
388.0	5.0
389.0	4.0
390.0	9.0
391.0	6.0
392.0	10.0
393.0	2.0
394.0	6.0
395.0	9.0
396.0	6.0
397.0	7.0
398.0	4.0
399.0	7.0
400.0	4.0
401.0	2.0
402.0	10.0
403.0	5.0
404.0	5.0
405.0	7.0
406.0	7.0
407.0	5.0
408.0	7.0
409.0	4.0
410.0	2.0
411.0	6.0
412.0	4.0
413.0	1.0
414.0	4.0
415.0	7.0
416.0	6.0
417.0	3.0
418.0	4.0
419.0	5.0
420.0	5.0
421.0	6.0
422.0	5.0
423.0	5.0
425.0	3.0
427.0	3.0
428.0	4.0
429.0	5.0
430.0	6.0
431.0	6.0
432.0	7.0
433.0	3.0
434.0	4.0
435.0	4.0
436.0	4.0
437.0	3.0
438.0	2.0
439.0	2.0
440.0	2.0
442.0	2.0
443.0	2.0
444.0	5.0
445.0	3.0
446.0	2.0
447.0	2.0
448.0	2.0
449.0	4.0
450.0	2.0
451.0	2.0
452.0	3.0
453.0	1.0
454.0	2.0
455.0	2.0
456.0	1.0
457.0	4.0
458.0	2.0
459.0	1.0
460.0	1.0
461.0	1.0
462.0	1.0
463.0	4.0
464.0	1.0
465.0	2.0
466.0	3.0
467.0	1.0
468.0	3.0
469.0	1.0
470.0	3.0
472.0	2.0
473.0	5.0
475.0	3.0
476.0	1.0
478.0	1.0
479.0	2.0
480.0	2.0
481.0	1.0
482.0	1.0
483.0	2.0
484.0	1.0
486.0	2.0
493.0	5.0
494.0	1.0
495.0	1.0
500.0	1.0
501.0	1.0
502.0	1.0
503.0	2.0
504.0	1.0
508.0	3.0
509.0	1.0
510.0	3.0
516.0	2.0
517.0	1.0
520.0	1.0
525.0	1.0
526.0	1.0
527.0	1.0
531.0	1.0
537.0	1.0
543.0	1.0
549.0	1.0
550.0	1.0
552.0	1.0
553.0	2.0
558.0	1.0
561.0	1.0
565.0	1.0
571.0	1.0
572.0	1.0
584.0	1.0
591.0	1.0
592.0	1.0
639.0	1.0
