#Mapping quality	mapping quality
0.0	29010.0
1.0	404.0
2.0	15.0
3.0	300.0
4.0	98.0
5.0	300.0
7.0	150.0
9.0	300.0
10.0	264.0
12.0	143.0
13.0	288.0
15.0	272.0
16.0	260.0
17.0	150.0
18.0	150.0
19.0	558.0
21.0	150.0
22.0	826.0
23.0	260.0
24.0	1196.0
25.0	300.0
26.0	300.0
27.0	2464.0
30.0	196.0
31.0	345.0
34.0	353.0
36.0	432.0
37.0	280.0
39.0	548.0
40.0	5523.0
41.0	589.0
42.0	145.0
43.0	936.0
44.0	35.0
45.0	281.0
46.0	247.0
47.0	379.0
48.0	1557.0
49.0	81.0
50.0	191.0
51.0	206.0
52.0	300.0
53.0	358.0
54.0	748.0
55.0	302.0
57.0	635.0
58.0	281.0
59.0	611.0
60.0	472370.0
