#Position (bp)	Coverage	Std
4090112.5	0.0	0.0
1.22703365E7	0.0	0.0
2.04505605E7	0.0	0.0
2.86307845E7	0.0	0.0
3.68110085E7	0.0	0.0
4.49912325E7	0.0	0.0
5.31714565E7	0.0	0.0
6.13516805E7	0.0	0.0
6.95319045E7	0.0	0.0
7.77121285E7	0.0	0.0
8.58923525E7	0.0	0.0
9.40725765E7	0.0	0.0
1.022528005E8	0.0	0.0
1.104330245E8	0.0	0.0
1.186132485E8	0.0	0.0
1.267934725E8	0.0	0.0
1.349736965E8	0.0	0.0
1.431539205E8	0.0	0.0
1.513341445E8	0.0	0.0
1.595143685E8	0.0	0.0
1.676945925E8	0.0	0.0
1.758748165E8	0.0	0.0
1.840550405E8	0.0	0.0
1.922352645E8	0.0	0.0
2.004154885E8	0.0	0.0
2.085957125E8	0.0	0.0
2.167759365E8	0.0	0.0
2.249561605E8	0.0	0.0
2.331363845E8	0.0	0.0
2.413166085E8	0.0	0.0
2.471815715E8	0.0	0.0
2.4904395E8	0.0	0.0
2.491474935E8	0.0	0.0
2.492273505E8	0.0	0.0
2.493246215E8	0.0	0.0
2.493781395E8	0.0	0.0
2.494193325E8	0.0	0.0
2.49528459E8	0.0	0.0
2.49636853E8	0.0	0.0
2.49678084E8	0.0	0.0
2.516429435E8	0.0	0.0
2.576770565E8	0.0	0.0
2.658572805E8	0.0	0.0
2.740375045E8	0.0	0.0
2.822177285E8	0.0	0.0
2.903979525E8	0.0	0.0
2.985781765E8	0.0	0.0
3.067584005E8	0.0	0.0
3.149386245E8	0.0	0.0
3.231188485E8	0.0	0.0
3.312990725E8	0.0	0.0
3.394792965E8	0.0	0.0
3.476595205E8	0.0	0.0
3.558397445E8	0.0	0.0
3.640199685E8	0.0	0.0
3.722001925E8	0.0	0.0
3.803804165E8	0.0	0.0
3.885606405E8	0.0	0.0
3.967408645E8	0.0	0.0
4.049210885E8	0.0	0.0
4.131013125E8	0.0	0.0
4.212815365E8	0.0	0.0
4.294617605E8	0.0	0.0
4.376419845E8	0.0	0.0
4.458222085E8	0.0	0.0
4.540024325E8	0.0	0.0
4.621826565E8	0.0	0.0
4.703628805E8	0.0	0.0
4.785431045E8	0.0	0.0
4.867233285E8	0.0	0.0
4.91352956E8	0.0	0.0
4.91973207E8	0.0	0.0
4.92130842E8	0.0	0.0
4.95600703E8	0.0	0.0
5.030837765E8	0.0	0.0
5.112640005E8	0.0	0.0
5.194442245E8	0.0	0.0
5.276244485E8	0.0	0.0
5.358046725E8	0.0	0.0
5.439848965E8	0.0	0.0
5.521651205E8	0.0	0.0
5.603453445E8	0.0	0.0
5.685255685E8	0.0	0.0
5.767057925E8	0.0	0.0
5.848860165E8	0.0	0.0
5.930662405E8	0.0	0.0
6.012464645E8	0.0	0.0
6.094266885E8	0.0	0.0
6.176069125E8	6.112302059210115E-6	0.002472307031743856
6.257871365E8	0.0	0.0
6.339673605E8	0.0	0.0
6.421475845E8	0.0	0.0
6.503278085E8	0.0	0.0
6.585080325E8	0.0	0.0
6.666882565E8	0.0	0.0
6.748684805E8	0.0	0.0
6.830487045E8	0.0	0.0
6.888210585E8	0.0	0.0
6.90580999E8	0.0	0.0
6.92988869E8	0.0	0.0
6.994091525E8	0.0	0.0
7.075893765E8	0.0	0.0
7.157696005E8	0.0	0.0
7.239498245E8	0.0	0.0
7.321300485E8	0.0	0.0
7.403102725E8	0.0	0.0
7.484904965E8	0.0	0.0
7.566707205E8	0.0	0.0
7.648509445E8	0.0	0.0
7.730311685E8	0.0	0.0
7.812113925E8	0.0	0.0
7.893916165E8	0.0	0.0
7.975718405E8	0.0	0.0
8.057520645E8	0.0	0.0
8.139322885E8	0.0	0.0
8.221125125E8	0.0	0.0
8.302927365E8	0.0	0.0
8.384729605E8	0.0	0.0
8.466531845E8	0.0	0.0
8.548334085E8	0.0	0.0
8.630136325E8	0.0	0.0
8.711938565E8	0.0	0.0
8.780786105E8	0.0	0.0
8.80978107E8	0.0	0.0
8.82273577E8	0.0	0.0
8.875543045E8	0.0	0.0
8.957345285E8	0.0	0.0
