#Coverage (X)	Coverage
1.0	4.1643118956358194E-4
2.0	3.685718586581288E-4
3.0	3.3846876738152787E-4
4.0	3.1652560033990085E-4
5.0	2.9614107050690563E-4
6.0	2.8437488762733665E-4
7.0	2.668631401121502E-4
8.0	2.528659667007105E-4
9.0	2.3501804253101E-4
10.0	2.1970672402460423E-4
11.0	2.021338534774486E-4
12.0	1.8786162644346405E-4
13.0	1.70502686501095E-4
14.0	1.5326599260845342E-4
15.0	1.3755737441556448E-4
16.0	1.2166538714097896E-4
17.0	1.0455093931227566E-4
18.0	8.85061444648727E-5
19.0	7.542581647612678E-5
20.0	6.31400878603472E-5
21.0	5.351321095758976E-5
22.0	4.266387348650369E-5
23.0	3.1478359360903596E-5
24.0	2.3715734812412848E-5
25.0	1.772567807734049E-5
26.0	1.5127949382076622E-5
27.0	1.2805274323568483E-5
28.0	1.0085299578577178E-5
29.0	7.304201801616728E-6
30.0	4.584227056625423E-6
31.0	1.8336908027549725E-6
32.0	4.889841846988929E-7
33.0	2.7505357991230994E-7
34.0	2.444920710331644E-7
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
