#Insert size (bp)	insert size
78.0	1.0
197.0	1.0
227.0	1.0
230.0	1.0
238.0	1.0
240.0	1.0
248.0	1.0
254.0	2.0
255.0	1.0
258.0	1.0
259.0	1.0
261.0	2.0
264.0	1.0
265.0	1.0
266.0	3.0
268.0	2.0
269.0	2.0
270.0	1.0
271.0	1.0
272.0	3.0
273.0	4.0
274.0	3.0
275.0	1.0
276.0	1.0
277.0	3.0
278.0	2.0
279.0	4.0
280.0	2.0
281.0	5.0
282.0	3.0
283.0	3.0
284.0	2.0
285.0	2.0
286.0	2.0
287.0	5.0
288.0	6.0
289.0	4.0
290.0	4.0
291.0	1.0
292.0	2.0
293.0	1.0
294.0	4.0
295.0	5.0
296.0	5.0
297.0	2.0
298.0	4.0
299.0	4.0
300.0	7.0
301.0	2.0
302.0	5.0
303.0	3.0
304.0	3.0
305.0	1.0
306.0	2.0
307.0	3.0
308.0	4.0
309.0	2.0
310.0	6.0
311.0	5.0
312.0	5.0
315.0	2.0
316.0	2.0
317.0	1.0
318.0	3.0
319.0	4.0
320.0	3.0
321.0	4.0
322.0	6.0
324.0	6.0
325.0	7.0
326.0	4.0
327.0	3.0
328.0	1.0
329.0	5.0
330.0	1.0
331.0	1.0
332.0	3.0
334.0	4.0
335.0	2.0
336.0	2.0
337.0	5.0
338.0	6.0
339.0	6.0
340.0	9.0
341.0	3.0
342.0	3.0
343.0	5.0
344.0	5.0
345.0	1.0
346.0	1.0
347.0	4.0
348.0	4.0
349.0	1.0
350.0	7.0
351.0	6.0
352.0	4.0
353.0	5.0
355.0	1.0
356.0	2.0
357.0	3.0
358.0	1.0
359.0	3.0
360.0	4.0
362.0	3.0
363.0	3.0
364.0	1.0
365.0	3.0
366.0	1.0
367.0	4.0
368.0	2.0
369.0	3.0
370.0	1.0
371.0	2.0
372.0	6.0
373.0	3.0
374.0	3.0
375.0	3.0
377.0	6.0
378.0	1.0
379.0	3.0
380.0	3.0
381.0	4.0
382.0	4.0
383.0	2.0
384.0	2.0
385.0	3.0
386.0	1.0
387.0	4.0
388.0	4.0
389.0	4.0
390.0	5.0
391.0	1.0
392.0	5.0
393.0	2.0
394.0	3.0
395.0	2.0
396.0	1.0
397.0	1.0
398.0	5.0
399.0	6.0
400.0	3.0
401.0	3.0
403.0	2.0
404.0	2.0
405.0	2.0
406.0	3.0
407.0	1.0
408.0	1.0
409.0	2.0
411.0	2.0
413.0	5.0
417.0	1.0
418.0	1.0
422.0	2.0
423.0	2.0
425.0	1.0
427.0	1.0
433.0	2.0
434.0	1.0
435.0	1.0
436.0	1.0
437.0	1.0
438.0	1.0
442.0	4.0
443.0	2.0
447.0	2.0
449.0	1.0
451.0	2.0
452.0	1.0
453.0	2.0
455.0	1.0
456.0	1.0
458.0	2.0
459.0	2.0
462.0	2.0
473.0	1.0
478.0	2.0
480.0	1.0
484.0	1.0
485.0	1.0
496.0	1.0
501.0	1.0
502.0	1.0
508.0	1.0
542.0	1.0
578.0	2.0
612.0	1.0
