# This file was produced by samtools stats (1.12+htslib-1.12) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats SSMP_060_to_069.SSM063.unmapped-both-read-and-mate.sam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	d31534ae	d162f9ce	8f117a1a
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2033432	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2033432
SN	is sorted:	0
SN	1st fragments:	1016716
SN	last fragments:	1016716
SN	reads mapped:	49599
SN	reads mapped and paired:	49198	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1983833
SN	reads properly paired:	46876	# proper-pair bit set
SN	reads paired:	2033432	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	6274	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	203343200	# ignores clipping
SN	total first fragment length:	101671600	# ignores clipping
SN	total last fragment length:	101671600	# ignores clipping
SN	bases mapped:	4959900	# ignores clipping
SN	bases mapped (cigar):	1872044	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	134806	# from NM fields
SN	error rate:	7.201006e-02	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	4.5
SN	insert size average:	289.3
SN	insert size standard deviation:	35.9
SN	inward oriented pairs:	23544
SN	outward oriented pairs:	37
SN	pairs with other orientation:	32
SN	pairs on different chromosomes:	986
SN	percentage of properly paired reads (%):	2.3
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	483608	0	0	0	0	0	0	0	47575	0	0	16414	0	0	0	0	0	21566	0	0	41005	0	854	0	0	26673	54320	21935	16159	212036	62752	9250	2208	361	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	484336	1860	296	0	812	2193	9985	4814	12032	10817	3770	562	5415	580	5716	1584	8879	9207	15942	9972	14369	14956	17449	32719	30154	31815	47735	43721	81497	38448	37677	18715	7742	8046	2429	438	34	0	0	0	0	0	0
FFQ	3	0	0	484192	1502	0	284	0	2349	6660	2932	10569	2816	8476	2736	2530	2109	4276	294	1696	3981	6240	15750	14335	13769	8657	19103	26283	28833	33132	37910	55246	92904	25926	45696	23097	12934	12359	5962	979	163	36	0	0	0	0
FFQ	4	0	316	484510	0	0	208	867	3986	1013	5325	2479	1794	4644	2985	531	3448	495	502	313	2526	4585	7479	10039	6715	6315	5755	11317	11353	8950	17712	13163	35126	46693	59214	37454	73655	46782	45065	41905	11497	0	0	0	0	0
FFQ	5	0	957	594628	0	701	0	4046	8228	4580	16397	4962	14355	4502	3509	4205	4733	1021	190	3700	6437	12480	11259	12710	6100	6448	8651	11949	7321	14221	18157	18650	30352	40322	12948	36677	31504	32334	18049	8725	548	160	0	0	0	0
FFQ	6	0	2632	646255	2163	953	1939	2353	5902	1498	12368	12635	7848	10381	2855	4277	4387	3911	5685	3593	6097	7415	5868	10457	8758	8556	4042	8063	10857	7075	16879	16813	14795	28636	29983	18122	44550	29511	5077	2870	575	82	0	0	0	0
FFQ	7	0	2272	686697	2029	0	1112	2862	4011	3180	11004	11454	7131	10424	2797	4917	2835	1684	4611	6316	6501	6745	9344	6875	6474	7851	6914	7859	7505	8872	15883	18645	24191	29296	13920	37853	24698	7684	1036	2681	455	98	0	0	0	0
FFQ	8	0	1890	718545	1796	0	919	2544	3424	2858	8776	9865	7570	11503	2816	3484	4375	1082	4477	5318	3522	6975	4878	8844	7152	9065	3129	6392	8739	6807	15599	10157	18190	22041	22796	19906	33174	14195	920	2538	378	77	0	0	0	0
FFQ	9	0	1597	743376	1800	0	804	2216	3046	2486	7514	8755	5997	12131	2224	3353	3167	1600	1766	3953	4656	2387	5981	4076	8951	9936	6716	4185	6872	5775	12546	12777	11466	16854	20087	12493	31197	22262	7848	3292	574	0	0	0	0	0
FFQ	10	0	1436	763948	1657	0	700	1850	2857	2099	6764	8131	5694	11509	2186	2956	3856	728	1690	3463	4041	4275	5162	7877	6781	8205	3703	5070	6371	4025	11809	11554	10163	15731	18475	11398	29145	20436	6949	3414	608	0	0	0	0	0
FFQ	11	0	1197	781826	1573	439	1053	1191	3606	732	5982	7505	6769	10197	2578	2323	3729	932	3183	3845	2373	5349	3746	7404	7326	6966	3656	5950	4271	11959	11675	8175	17441	16219	8808	24812	17576	6653	6249	1043	405	0	0	0	0	0
FFQ	12	0	1071	797825	1542	619	804	2700	1732	1918	8052	8044	10701	3419	1693	4000	1028	2331	3135	6722	4132	7040	7315	5507	3727	4263	4819	9929	11495	8066	13748	11674	20266	15848	15316	5699	5383	3124	1014	631	384	0	0	0	0	0
FFQ	13	0	1006	811806	1627	306	933	1003	3285	600	5172	6567	5763	10432	2140	2168	3595	747	2484	2596	1928	3415	3977	7452	5550	5544	4017	3853	5324	2708	4275	9367	10360	11773	18637	7821	22955	15708	5874	3310	638	0	0	0	0	0
FFQ	14	0	876	824501	1587	305	825	931	3081	570	5045	6639	5560	9786	2239	2789	2776	728	2536	2903	3871	3777	6836	5205	5531	4065	3847	4327	3371	7631	10963	6550	11503	14369	17362	11264	13323	5626	1933	967	580	138	0	0	0	0
