Sample	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Mammalia	Actinobacteria	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	465.0	1403.0	31.0	1468.0	124.0	42.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	45.0	2630.0	57.0	1237.0	39.0	81.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	43.0	2265.0	37.0	1123.0	36.0	62.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	79.0	2846.0	74.0	524.0	71.0	66.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	55.0	2366.0	62.0	1365.0	22.0	65.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	66.0	2601.0	54.0	506.0	45.0	74.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	51.0	647.0	8.0	288.0	14.0	19.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	11.0	402.0	7.0	453.0	9.0	11.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	198.0	925.0	19.0	290.0	23.0	28.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	25.0	514.0	12.0	554.0	17.0	33.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	26.0	759.0	15.0	463.0	18.0	21.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	9.0	386.0	1.0	579.0	15.0	24.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	12.0	454.0	20.0	471.0	12.0	17.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	15.0	411.0	7.0	347.0	6.0	19.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	19.0	371.0	21.0	299.0	29.0	19.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	39.0	1935.0	44.0	1061.0	21.0	70.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	50.0	2612.0	53.0	458.0	34.0	53.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	32.0	2213.0	39.0	275.0	19.0	48.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	16.0	1626.0	42.0	443.0	21.0	38.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	70.0	2308.0	45.0	418.0	42.0	72.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	36.0	1611.0	40.0	786.0	26.0	51.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	35.0	1782.0	38.0	631.0	35.0	58.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	58.0	1637.0	61.0	661.0	37.0	48.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	33.0	1425.0	27.0	542.0	28.0	63.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	82.0	2163.0	45.0	630.0	55.0	92.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	95.0	3161.0	83.0	502.0	80.0	274.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	84.0	2184.0	91.0	479.0	39.0	66.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	102.0	2402.0	69.0	568.0	48.0	68.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	136.0	3812.0	149.0	543.0	620.0	141.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	296.0	9105.0	277.0	715.0	282.0	319.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	380.0	39626.0	372.0	499.0	226.0	528.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	618.0	60716.0	656.0	541.0	585.0	807.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	324.0	35631.0	296.0	325.0	225.0	451.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	36.0	461.0	51.0	1056.0	162.0	27.0	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	868.0	69622.0	739.0	767.0	490.0	1038.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	455.0	34248.0	388.0	482.0	233.0	566.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	24.0	42.0	nan	396.0	94.0	23.0	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	429.0	37599.0	375.0	881.0	255.0	607.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	901.0	75221.0	812.0	1086.0	520.0	1192.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	1110.0	100577.0	1059.0	954.0	872.0	1547.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	1362.0	123944.0	1435.0	358.0	955.0	1868.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	159.0	11111.0	173.0	496.0	122.0	219.0	15841.0
MUX10360.WHB8070.unmapped-both-read-and-mate	195.0	7572.0	103.0	889.0	252.0	153.0	28198.0
MUX10368.WHB8161.unmapped-both-read-and-mate	83.0	4710.0	79.0	672.0	87.0	162.0	8572.0
MUX10377.WHB8068.unmapped-both-read-and-mate	300.0	17213.0	354.0	2531.0	144.0	361.0	148905.0
MUX10381.WHB8193.unmapped-both-read-and-mate	58.0	3616.0	85.0	847.0	70.0	98.0	17260.0
MUX10397.WHB8285.unmapped-both-read-and-mate	572.0	32177.0	605.0	391.0	388.0	729.0	25118.0
MUX10398.WHB8290.unmapped-both-read-and-mate	449.0	23355.0	455.0	537.0	369.0	579.0	20704.0
