Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	2062.0	1468.0	2.0	1.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	2851.0	1237.0	1.0	nan	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	2443.0	1123.0	nan	nan	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	3132.0	524.0	3.0	1.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	2569.0	1365.0	nan	1.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	2836.0	506.0	2.0	2.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	738.0	288.0	1.0	nan	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	438.0	453.0	2.0	nan	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	1188.0	290.0	5.0	nan	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	595.0	554.0	5.0	1.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	838.0	463.0	1.0	nan	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	435.0	579.0	nan	nan	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	513.0	471.0	2.0	nan	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	457.0	347.0	1.0	nan	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	458.0	299.0	1.0	nan	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	2105.0	1061.0	3.0	1.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	2802.0	458.0	nan	nan	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	2351.0	275.0	nan	nan	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	1739.0	443.0	4.0	nan	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	2527.0	418.0	9.0	1.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	1761.0	786.0	1.0	2.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	1942.0	631.0	5.0	1.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	1840.0	661.0	1.0	nan	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	1575.0	542.0	nan	1.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	2435.0	630.0	2.0	nan	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	3689.0	502.0	3.0	1.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	2459.0	479.0	1.0	4.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	2689.0	568.0	nan	nan	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	4851.0	543.0	7.0	nan	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	10274.0	715.0	1.0	4.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	41129.0	499.0	nan	3.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	63378.0	541.0	1.0	3.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	36924.0	325.0	1.0	2.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	737.0	1056.0	nan	nan	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	72739.0	767.0	12.0	6.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	35887.0	482.0	nan	3.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	180.0	396.0	3.0	nan	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	39257.0	881.0	6.0	2.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	78634.0	1086.0	3.0	9.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	105153.0	954.0	2.0	10.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	129552.0	358.0	2.0	10.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	11782.0	496.0	nan	2.0	15841.0
MUX10360.WHB8070.unmapped-both-read-and-mate	8272.0	889.0	3.0	nan	28198.0
MUX10368.WHB8161.unmapped-both-read-and-mate	5121.0	672.0	nan	nan	8572.0
MUX10377.WHB8068.unmapped-both-read-and-mate	18370.0	2531.0	1.0	1.0	148905.0
MUX10381.WHB8193.unmapped-both-read-and-mate	3924.0	847.0	1.0	2.0	17260.0
MUX10397.WHB8285.unmapped-both-read-and-mate	34441.0	391.0	25.0	5.0	25118.0
MUX10398.WHB8290.unmapped-both-read-and-mate	25199.0	537.0	3.0	5.0	20704.0
MUX10424.WHB8339.unmapped-both-read-and-mate	31804.0	641.0	2.0	2.0	40179.0
MUX10427.WHB8391.unmapped-both-read-and-mate	12284.0	1043.0	2.0	3.0	26111.0
MUX10430.WHB8410.unmapped-both-read-and-mate	76000.0	675.0	5.0	11.0	52421.0
MUX10431.WHB8414.unmapped-both-read-and-mate	16574.0	559.0	nan	3.0	19860.0
MUX10438.WHB8451.unmapped-both-read-and-mate	15875.0	744.0	1.0	1.0	28644.0
MUX10438.WHB8452.unmapped-both-read-and-mate	10969.0	941.0	1.0	1.0	32245.0
MUX10444.WHB8480.unmapped-both-read-and-mate	11888.0	679.0	2.0	1.0	28571.0
MUX10444.WHB8481.unmapped-both-read-and-mate	16251.0	686.0	1.0	1.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	13156.0	742.0	1.0	4.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	2750.0	658.0	nan	nan	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	6948.0	816.0	1.0	1.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	14254.0	711.0	nan	1.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	3916.0	704.0	1.0	nan	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	2637.0	294.0	5.0	1.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	6577.0	305.0	nan	nan	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	17713.0	345.0	4.0	1.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	15750.0	326.0	6.0	4.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	16828.0	340.0	3.0	4.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	2835.0	359.0	1.0	nan	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	20616.0	384.0	nan	2.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	13456.0	537.0	2.0	1.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	148900.0	369.0	3.0	20.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	27390.0	462.0	3.0	4.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	19320.0	340.0	1.0	4.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	94552.0	422.0	7.0	22.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	255323.0	410.0	54.0	44.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	109136.0	554.0	28.0	35.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	14625.0	377.0	15.0	4.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	23179.0	554.0	16.0	8.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	298917.0	748.0	56.0	54.0	259101.0
