Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	1.0	1468.0	nan	nan	1.0	2063.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	nan	1237.0	nan	1.0	nan	2851.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	nan	1123.0	1.0	nan	nan	2442.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	nan	524.0	nan	nan	nan	3136.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	nan	1365.0	1.0	2.0	nan	2567.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	nan	506.0	nan	1.0	1.0	2838.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	nan	288.0	nan	2.0	nan	737.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	nan	453.0	nan	nan	nan	440.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	1.0	290.0	nan	3.0	nan	1189.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	nan	554.0	nan	nan	nan	601.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	nan	463.0	nan	4.0	nan	835.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	nan	579.0	nan	nan	nan	435.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	nan	471.0	1.0	nan	nan	514.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	nan	347.0	nan	nan	nan	458.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	nan	299.0	nan	3.0	1.0	455.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	1.0	1061.0	nan	nan	nan	2108.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	3.0	458.0	nan	1.0	nan	2798.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	nan	275.0	nan	nan	2.0	2349.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	nan	443.0	1.0	1.0	nan	1741.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	3.0	418.0	nan	44.0	1.0	2489.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	nan	786.0	nan	16.0	nan	1748.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	1.0	631.0	nan	35.0	nan	1912.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	nan	661.0	1.0	45.0	2.0	1793.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	nan	542.0	nan	34.0	nan	1542.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	1.0	630.0	nan	46.0	2.0	2388.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	2.0	502.0	1.0	65.0	nan	3625.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	nan	479.0	nan	22.0	nan	2442.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	1.0	568.0	nan	45.0	1.0	2642.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	nan	543.0	nan	31.0	9.0	4818.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	2.0	715.0	nan	178.0	7.0	10092.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	3.0	499.0	2.0	19567.0	2.0	21558.0	24463.0
