Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	10.0	1468.0	12.0	20.0	nan	2023.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	22.0	1237.0	34.0	23.0	6.0	2767.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	16.0	1123.0	27.0	15.0	5.0	2380.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	21.0	524.0	29.0	31.0	11.0	3044.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	24.0	1365.0	35.0	23.0	9.0	2479.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	13.0	506.0	29.0	27.0	7.0	2764.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	3.0	288.0	24.0	2.0	1.0	709.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	5.0	453.0	17.0	3.0	nan	415.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	8.0	290.0	42.0	5.0	3.0	1135.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	1.0	554.0	10.0	9.0	1.0	580.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	8.0	463.0	36.0	7.0	nan	788.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	3.0	579.0	15.0	1.0	nan	416.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	3.0	471.0	12.0	9.0	1.0	490.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	6.0	347.0	6.0	1.0	1.0	444.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	2.0	299.0	8.0	3.0	2.0	444.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	16.0	1061.0	21.0	16.0	7.0	2049.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	16.0	458.0	32.0	26.0	8.0	2720.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	13.0	275.0	36.0	18.0	2.0	2282.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	6.0	443.0	38.0	12.0	7.0	1680.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	16.0	418.0	942.0	21.0	5.0	1553.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	8.0	786.0	614.0	14.0	6.0	1122.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	10.0	631.0	694.0	18.0	3.0	1223.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	26.0	661.0	617.0	25.0	10.0	1163.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	8.0	542.0	493.0	15.0	2.0	1058.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	21.0	630.0	1142.0	17.0	1.0	1256.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	21.0	502.0	1517.0	36.0	6.0	2113.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	18.0	479.0	1093.0	33.0	8.0	1312.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	12.0	568.0	1172.0	28.0	5.0	1472.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	33.0	543.0	1921.0	59.0	9.0	2836.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	71.0	715.0	4708.0	102.0	31.0	5367.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	80.0	499.0	34196.0	166.0	44.0	6646.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	157.0	541.0	52563.0	265.0	53.0	10344.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	88.0	325.0	30845.0	148.0	19.0	5827.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	4.0	1056.0	330.0	30.0	3.0	370.0	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	222.0	767.0	59018.0	374.0	72.0	13071.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	109.0	482.0	29029.0	179.0	35.0	6538.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	2.0	396.0	13.0	nan	nan	168.0	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	99.0	881.0	31944.0	191.0	31.0	7000.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	208.0	1086.0	63716.0	399.0	70.0	14253.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	247.0	954.0	85289.0	523.0	83.0	19023.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	330.0	358.0	105567.0	687.0	123.0	22857.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	44.0	496.0	9261.0	73.0	21.0	2385.0	15841.0
