Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	10.0	1468.0	4.0	nan	1.0	2050.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	22.0	1237.0	2.0	nan	7.0	2821.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	13.0	1123.0	1.0	1.0	6.0	2422.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	21.0	524.0	3.0	nan	6.0	3106.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	24.0	1365.0	2.0	1.0	6.0	2537.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	13.0	506.0	4.0	nan	11.0	2812.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	3.0	288.0	nan	nan	10.0	726.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	5.0	453.0	nan	nan	10.0	425.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	8.0	290.0	1.0	nan	19.0	1165.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	1.0	554.0	nan	nan	2.0	598.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	8.0	463.0	1.0	nan	16.0	814.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	3.0	579.0	nan	nan	6.0	426.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	3.0	471.0	1.0	1.0	9.0	501.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	6.0	347.0	nan	nan	3.0	449.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	2.0	299.0	2.0	nan	3.0	452.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	16.0	1061.0	4.0	nan	6.0	2083.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	15.0	458.0	4.0	nan	10.0	2773.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	13.0	275.0	2.0	nan	10.0	2326.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	6.0	443.0	nan	1.0	8.0	1728.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	16.0	418.0	1.0	nan	605.0	1915.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	8.0	786.0	1.0	nan	394.0	1361.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	10.0	631.0	2.0	nan	435.0	1501.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	26.0	661.0	6.0	1.0	370.0	1438.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	7.0	542.0	nan	nan	326.0	1243.0	17809.0
