Sample	Metazoa	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	1468.0	2065.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	1237.0	2852.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	1123.0	2443.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	524.0	3136.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	1365.0	2570.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	506.0	2840.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	288.0	739.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	453.0	440.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	290.0	1193.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	554.0	601.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	463.0	839.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	579.0	435.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	471.0	515.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	347.0	458.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	299.0	459.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	1061.0	2109.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	458.0	2802.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	275.0	2351.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	443.0	1743.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	418.0	2537.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	786.0	1764.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	631.0	1948.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	661.0	1841.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	542.0	1576.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	630.0	2437.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	502.0	3693.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	479.0	2464.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	568.0	2689.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	543.0	4858.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	715.0	10279.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	499.0	41132.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	541.0	63382.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	325.0	36927.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	1056.0	737.0	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	767.0	72757.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	482.0	35890.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	396.0	183.0	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	881.0	39265.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	1086.0	78646.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	954.0	105165.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	358.0	129564.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	496.0	11784.0	15841.0
MUX10360.WHB8070.unmapped-both-read-and-mate	889.0	8275.0	28198.0
MUX10368.WHB8161.unmapped-both-read-and-mate	672.0	5121.0	8572.0
MUX10377.WHB8068.unmapped-both-read-and-mate	2531.0	18372.0	148905.0
MUX10381.WHB8193.unmapped-both-read-and-mate	847.0	3927.0	17260.0
MUX10397.WHB8285.unmapped-both-read-and-mate	391.0	34471.0	25118.0
MUX10398.WHB8290.unmapped-both-read-and-mate	537.0	25207.0	20704.0
MUX10424.WHB8339.unmapped-both-read-and-mate	641.0	31808.0	40179.0
MUX10427.WHB8391.unmapped-both-read-and-mate	1043.0	12289.0	26111.0
MUX10430.WHB8410.unmapped-both-read-and-mate	675.0	76016.0	52421.0
MUX10431.WHB8414.unmapped-both-read-and-mate	559.0	16577.0	19860.0
MUX10438.WHB8451.unmapped-both-read-and-mate	744.0	15877.0	28644.0
MUX10438.WHB8452.unmapped-both-read-and-mate	941.0	10971.0	32245.0
MUX10444.WHB8480.unmapped-both-read-and-mate	679.0	11891.0	28571.0
MUX10444.WHB8481.unmapped-both-read-and-mate	686.0	16253.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	742.0	13161.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	658.0	2750.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	816.0	6950.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	711.0	14255.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	704.0	3917.0	27459.0
