Sample	Pseudomonadales	Burkholderiales	Primates	Sphingomonadales	Rhizobiales	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	12.0	30.0	1468.0	15.0	1297.0	711.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	23.0	52.0	1237.0	36.0	2446.0	295.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	18.0	37.0	1123.0	29.0	2088.0	271.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	25.0	63.0	524.0	39.0	2673.0	336.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	26.0	57.0	1365.0	40.0	2182.0	265.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	14.0	51.0	506.0	32.0	2415.0	328.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	35.0	7.0	288.0	26.0	574.0	97.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	7.0	7.0	453.0	19.0	351.0	56.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	181.0	17.0	290.0	46.0	781.0	168.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	3.0	12.0	554.0	13.0	451.0	122.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	9.0	15.0	463.0	41.0	657.0	117.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	5.0	1.0	579.0	15.0	335.0	79.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	3.0	16.0	471.0	14.0	377.0	105.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	7.0	7.0	347.0	7.0	373.0	64.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	8.0	20.0	299.0	12.0	326.0	93.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	19.0	42.0	1061.0	26.0	1747.0	275.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	22.0	49.0	458.0	37.0	2375.0	319.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	15.0	32.0	275.0	36.0	2031.0	237.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	9.0	36.0	443.0	42.0	1497.0	159.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	17.0	36.0	418.0	979.0	1193.0	312.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	9.0	36.0	786.0	643.0	882.0	194.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	11.0	35.0	631.0	724.0	985.0	193.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	28.0	53.0	661.0	652.0	884.0	224.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	10.0	22.0	542.0	518.0	832.0	194.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	38.0	43.0	630.0	1187.0	861.0	308.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	40.0	76.0	502.0	1576.0	1393.0	608.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	30.0	87.0	479.0	1138.0	923.0	286.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	44.0	65.0	568.0	1222.0	1039.0	319.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	60.0	139.0	543.0	1998.0	1608.0	1053.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	118.0	253.0	715.0	4932.0	3682.0	1294.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	92.0	331.0	499.0	34853.0	3798.0	2058.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	173.0	596.0	541.0	53595.0	5620.0	3398.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	92.0	267.0	325.0	31429.0	3392.0	1747.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	6.0	48.0	1056.0	340.0	97.0	246.0	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	241.0	689.0	767.0	60416.0	7134.0	4277.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	113.0	351.0	482.0	29710.0	3542.0	2174.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	6.0	nan	396.0	13.0	21.0	143.0	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	104.0	326.0	881.0	32693.0	3889.0	2253.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	213.0	724.0	1086.0	65194.0	7798.0	4717.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	257.0	954.0	954.0	87259.0	10514.0	6181.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	333.0	1296.0	358.0	107884.0	12599.0	7452.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	45.0	154.0	496.0	9481.0	1197.0	907.0	15841.0
MUX10360.WHB8070.unmapped-both-read-and-mate	101.0	92.0	889.0	6167.0	1136.0	779.0	28198.0
MUX10368.WHB8161.unmapped-both-read-and-mate	24.0	76.0	672.0	3794.0	764.0	463.0	8572.0
MUX10377.WHB8068.unmapped-both-read-and-mate	89.0	322.0	2531.0	14010.0	2591.0	1360.0	148905.0
MUX10381.WHB8193.unmapped-both-read-and-mate	14.0	78.0	847.0	2841.0	657.0	337.0	17260.0
MUX10397.WHB8285.unmapped-both-read-and-mate	142.0	560.0	391.0	26314.0	4606.0	2849.0	25118.0
MUX10398.WHB8290.unmapped-both-read-and-mate	119.0	416.0	537.0	18886.0	3506.0	2280.0	20704.0
MUX10424.WHB8339.unmapped-both-read-and-mate	129.0	2607.0	641.0	22319.0	4323.0	2430.0	40179.0
MUX10427.WHB8391.unmapped-both-read-and-mate	98.0	286.0	1043.0	9045.0	1628.0	1232.0	26111.0
MUX10430.WHB8410.unmapped-both-read-and-mate	256.0	922.0	675.0	62657.0	7014.0	5167.0	52421.0
MUX10431.WHB8414.unmapped-both-read-and-mate	74.0	326.0	559.0	13155.0	1554.0	1468.0	19860.0
MUX10438.WHB8451.unmapped-both-read-and-mate	47.0	263.0	744.0	12867.0	1516.0	1184.0	28644.0
MUX10438.WHB8452.unmapped-both-read-and-mate	43.0	228.0	941.0	8730.0	1120.0	850.0	32245.0
MUX10444.WHB8480.unmapped-both-read-and-mate	41.0	173.0	679.0	9588.0	1189.0	900.0	28571.0
MUX10444.WHB8481.unmapped-both-read-and-mate	59.0	259.0	686.0	13068.0	1646.0	1221.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	84.0	215.0	742.0	10184.0	1563.0	1115.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	51.0	70.0	658.0	2076.0	341.0	212.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	28.0	183.0	816.0	5332.0	830.0	577.0	26384.0
