Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10033.WHB6550.unmapped-both-read-and-mate	1912.0	1468.0	124.0	14.0	4.0	11.0	51188.0
MUX10038.WHB6583.unmapped-both-read-and-mate	2776.0	1237.0	41.0	17.0	2.0	16.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	2371.0	1123.0	37.0	12.0	6.0	17.0	31525.0
MUX10043.WHB7557.unmapped-both-read-and-mate	3042.0	524.0	72.0	7.0	2.0	13.0	10534.0
MUX10053.WHB7614.unmapped-both-read-and-mate	2513.0	1365.0	22.0	8.0	4.0	23.0	54468.0
MUX10067.WHB6654.unmapped-both-read-and-mate	2756.0	506.0	45.0	14.0	1.0	24.0	11606.0
MUX10071.WHB6784.unmapped-both-read-and-mate	714.0	288.0	14.0	7.0	1.0	3.0	3220.0
MUX10085.WHB6854.unmapped-both-read-and-mate	424.0	453.0	9.0	1.0	nan	6.0	12098.0
MUX10098.WHB6896.unmapped-both-read-and-mate	1151.0	290.0	24.0	4.0	1.0	13.0	3318.0
MUX10102.WHB6916.unmapped-both-read-and-mate	564.0	554.0	17.0	5.0	1.0	14.0	18157.0
MUX10110.WHB6957.unmapped-both-read-and-mate	812.0	463.0	18.0	nan	1.0	8.0	7561.0
MUX10115.WHB6986.unmapped-both-read-and-mate	404.0	579.0	15.0	6.0	4.0	6.0	8051.0
MUX10115.WHB6994.unmapped-both-read-and-mate	491.0	471.0	12.0	2.0	1.0	9.0	9936.0
MUX10118.WHB7014.unmapped-both-read-and-mate	441.0	347.0	6.0	4.0	nan	7.0	3323.0
MUX10138.WHB7064.unmapped-both-read-and-mate	419.0	299.0	29.0	7.0	2.0	2.0	2682.0
MUX10144.WHB6712.unmapped-both-read-and-mate	2045.0	1061.0	22.0	12.0	15.0	15.0	39548.0
MUX10147.WHB6758.unmapped-both-read-and-mate	2739.0	458.0	34.0	8.0	1.0	20.0	14465.0
MUX10149.WHB6721.unmapped-both-read-and-mate	2314.0	275.0	19.0	5.0	1.0	12.0	4327.0
MUX10149.WHB6724.unmapped-both-read-and-mate	1699.0	443.0	22.0	10.0	nan	12.0	5081.0
MUX10164.WHB7092.unmapped-both-read-and-mate	2460.0	418.0	43.0	4.0	6.0	24.0	8000.0
MUX10165.WHB7095.unmapped-both-read-and-mate	1715.0	786.0	26.0	8.0	nan	15.0	35329.0
MUX10167.WHB7106.unmapped-both-read-and-mate	1881.0	631.0	36.0	8.0	1.0	22.0	23949.0
MUX10175.WHB7148.unmapped-both-read-and-mate	1781.0	661.0	37.0	6.0	2.0	15.0	24175.0
MUX10176.WHB7155.unmapped-both-read-and-mate	1516.0	542.0	32.0	8.0	6.0	14.0	17809.0
MUX10179.WHB7165.unmapped-both-read-and-mate	2332.0	630.0	59.0	11.0	nan	35.0	17268.0
MUX10184.WHB7194.unmapped-both-read-and-mate	3390.0	502.0	80.0	190.0	4.0	29.0	7891.0
MUX10191.WHB7216.unmapped-both-read-and-mate	2389.0	479.0	40.0	5.0	2.0	28.0	6649.0
MUX10194.WHB7235.unmapped-both-read-and-mate	2604.0	568.0	48.0	9.0	nan	28.0	7021.0
MUX10204.WHB7286.unmapped-both-read-and-mate	4156.0	543.0	621.0	16.0	5.0	60.0	11940.0
MUX10204.WHB7287.unmapped-both-read-and-mate	9845.0	715.0	285.0	38.0	18.0	93.0	20921.0
MUX10248.WHB7382.unmapped-both-read-and-mate	40728.0	499.0	231.0	18.0	10.0	145.0	24463.0
MUX10251.WHB7395.unmapped-both-read-and-mate	62507.0	541.0	595.0	25.0	18.0	237.0	32351.0
MUX10256.WHB7420.unmapped-both-read-and-mate	36535.0	325.0	229.0	24.0	9.0	130.0	19030.0
MUX10261.WHB7443.unmapped-both-read-and-mate	557.0	1056.0	162.0	4.0	2.0	12.0	45232.0
MUX10266.WHB7472.unmapped-both-read-and-mate	71906.0	767.0	501.0	22.0	16.0	312.0	56821.0
MUX10290.WHB7544.unmapped-both-read-and-mate	35435.0	482.0	239.0	21.0	11.0	184.0	27374.0
MUX10293.WHB6992.unmapped-both-read-and-mate	66.0	396.0	94.0	15.0	1.0	7.0	8619.0
MUX10297.WHB7796.unmapped-both-read-and-mate	38776.0	881.0	267.0	30.0	8.0	184.0	45113.0
MUX10301.WHB7818.unmapped-both-read-and-mate	77669.0	1086.0	527.0	53.0	33.0	364.0	75470.0
MUX10302.WHB7822.unmapped-both-read-and-mate	103695.0	954.0	880.0	71.0	34.0	485.0	74305.0
MUX10310.WHB7781.unmapped-both-read-and-mate	127896.0	358.0	977.0	41.0	39.0	611.0	63400.0
MUX10334.WHB7935.unmapped-both-read-and-mate	11582.0	496.0	124.0	9.0	4.0	65.0	15841.0
MUX10360.WHB8070.unmapped-both-read-and-mate	7961.0	889.0	254.0	13.0	4.0	43.0	28198.0
MUX10368.WHB8161.unmapped-both-read-and-mate	4947.0	672.0	93.0	23.0	22.0	36.0	8572.0
MUX10377.WHB8068.unmapped-both-read-and-mate	18080.0	2531.0	149.0	19.0	14.0	110.0	148905.0
MUX10381.WHB8193.unmapped-both-read-and-mate	3807.0	847.0	70.0	14.0	7.0	29.0	17260.0
MUX10397.WHB8285.unmapped-both-read-and-mate	33789.0	391.0	392.0	28.0	12.0	250.0	25118.0
MUX10398.WHB8290.unmapped-both-read-and-mate	24621.0	537.0	380.0	26.0	12.0	168.0	20704.0
MUX10424.WHB8339.unmapped-both-read-and-mate	31233.0	641.0	323.0	24.0	14.0	214.0	40179.0
MUX10427.WHB8391.unmapped-both-read-and-mate	11921.0	1043.0	270.0	6.0	13.0	79.0	26111.0
MUX10430.WHB8410.unmapped-both-read-and-mate	74718.0	675.0	780.0	45.0	27.0	446.0	52421.0
