#Position (bp)	mapping quality
4021684.5	50.33557046979866
1.20650525E7	60.0
2.01084205E7	60.0
2.81517885E7	60.0
3.61951565E7	60.0
4.42385245E7	59.97144217039505
5.22818925E7	60.0
6.03252605E7	60.0
6.83686285E7	60.0
7.64119965E7	60.0
8.44553645E7	60.0
9.24987325E7	60.0
1.005421005E8	60.0
1.085854685E8	53.4
1.166288365E8	60.0
1.246722045E8	17.40943843923016
1.327155725E8	0.0
1.407589405E8	0.0
1.488023085E8	56.74171029668412
1.568456765E8	59.965870307167236
1.648890445E8	40.0
1.729324125E8	60.0
1.809757805E8	58.797250859106526
1.890191485E8	59.72130059721301
1.970625165E8	59.96002664890073
2.051058845E8	60.0
2.131492525E8	60.0
2.211926205E8	59.90016638935108
2.292359885E8	60.0
2.372793565E8	60.0
2.451287315E8	36.0
2.491504155E8	0.0
2.533660925E8	60.0
2.614094605E8	60.0
2.694528285E8	55.479846449136275
2.774961965E8	60.0
2.855395645E8	60.0
2.935829325E8	59.866962305986696
3.016263005E8	60.0
3.096696685E8	58.96205357142857
3.177130365E8	60.0
3.257564045E8	60.0
3.337997725E8	47.96802131912059
3.418431405E8	29.142857142857142
3.498865085E8	60.0
3.579298765E8	46.86952897040433
3.659732445E8	60.0
3.740166125E8	60.0
3.820599805E8	57.6305397103993
3.901033485E8	60.0
3.981467165E8	60.0
4.061900845E8	60.0
4.142334525E8	60.0
4.222768205E8	60.0
4.303201885E8	57.90707145501666
4.383635565E8	60.0
4.464069245E8	60.0
4.544502925E8	59.95723449750535
4.624936605E8	60.0
4.705370285E8	60.0
4.785803965E8	60.0
4.866237645E8	60.0
4.908977E8	0.0
4.94919384E8	60.0
5.027105005E8	60.0
5.107538685E8	60.0
5.187972365E8	60.0
5.268406045E8	60.0
5.348839725E8	60.0
5.429273405E8	59.898477157360404
5.509707085E8	60.0
5.590140765E8	50.28740157480315
5.670574445E8	60.0
5.751008125E8	60.0
5.831441805E8	59.13793103448276
5.911875485E8	60.0
5.992309165E8	60.0
6.072742845E8	60.0
6.153176525E8	60.0
6.233610205E8	60.0
6.314043885E8	60.0
6.394477565E8	60.0
6.474911245E8	60.0
6.555344925E8	60.0
6.635778605E8	60.0
6.716212285E8	60.0
6.796645965E8	60.0
6.865658955E8	59.96002664890073
6.905875795E8	0.0
6.957513325E8	55.1374321880651
7.037947005E8	60.0
7.118380685E8	53.5632183908046
7.198814365E8	60.0
7.279248045E8	60.0
7.359681725E8	52.27303754266212
7.440115405E8	50.0
7.520549085E8	60.0
7.600982765E8	60.0
7.681416445E8	60.0
7.761850125E8	58.785714285714285
7.842283805E8	60.0
7.922717485E8	60.0
8.003151165E8	56.82628062360802
8.083584845E8	60.0
8.164018525E8	60.0
8.244452205E8	59.18509895227008
8.324885885E8	58.416666666666664
8.405319565E8	59.04480286738351
8.485753245E8	59.275521405049396
8.566186925E8	60.0
8.646620605E8	59.94263862332696
8.727054285E8	60.0
8.78193589E8	60.0
8.82215273E8	60.0
8.887921645E8	60.0
8.968355325E8	59.95997331554369
9.048789005E8	52.33640329617062
9.129222685E8	60.0
9.209656365E8	60.0
9.290090045E8	32.5
9.370523725E8	60.0
9.450957405E8	60.0
9.531391085E8	60.0
9.611824765E8	60.0
9.692258445E8	60.0
9.772692125E8	60.0
9.853125805E8	60.0
9.933559485E8	56.57334525939177
1.0013993165E9	60.0
1.0094426845E9	60.0
1.0174860525E9	60.0
1.0255294205E9	60.0
1.0335727885E9	59.94550408719346
1.0416161565E9	60.0
1.0496595245E9	60.0
1.0574397665E9	60.0
1.0614614505E9	0.0
1.0657462605E9	60.0
1.0737896285E9	60.0
1.0818329965E9	60.0
1.0898763645E9	42.5
1.0979197325E9	60.0
1.1059631005E9	60.0
1.1140064685E9	60.0
1.1220498365E9	48.0
1.1300932045E9	47.96802131912059
1.1381365725E9	55.84257206208426
1.1461799405E9	60.0
1.1542233085E9	59.97144217039505
1.1622666765E9	60.0
1.1703100445E9	59.96668517490283
1.1783534125E9	60.0
1.1863967805E9	59.932165065008476
1.1944401485E9	58.88475836431227
1.2024835165E9	60.0
1.2105268845E9	60.0
1.2185702525E9	60.0
1.2266136205E9	60.0
1.231319804E9	0.0
1.235341488E9	58.963133640552996
1.2427003565E9	60.0
1.2507437245E9	53.0320945945946
1.2587870925E9	60.0
1.2668304605E9	60.0
1.2748738285E9	60.0
1.2829171965E9	60.0
1.2909605645E9	34.72894078398666
1.2990039325E9	59.487790351399646
1.3070473005E9	54.625
1.3150906685E9	60.0
1.3231340365E9	60.0
1.3311774045E9	53.4
1.3392207725E9	59.949367088607595
1.3472641405E9	60.0
1.3553075085E9	60.0
1.3633508765E9	60.0
1.3713942445E9	60.0
1.3794376125E9	49.673790776152984
1.3874047865E9	59.1412213740458
1.3914264705E9	0.0
1.3955243485E9	30.0
1.4035677165E9	59.701492537313435
1.4116110845E9	60.0
1.4196544525E9	60.0
1.4276978205E9	60.0
1.4357411885E9	25.714285714285715
1.4437845565E9	60.0
1.4518279245E9	60.0
1.4598712925E9	58.98419864559819
1.4679146605E9	59.359962842545286
1.4759580285E9	60.0
1.4840013965E9	57.23147616312464
1.4920447645E9	60.0
1.5000881325E9	60.0
1.5081315005E9	49.75
1.5161748685E9	48.0
1.5242182365E9	60.0
1.5322616045E9	53.93877551020408
1.5363861005E9	0.0
1.5404077845E9	60.0
1.5483483405E9	60.0
1.5563917085E9	60.0
1.5644350765E9	59.674698795180724
1.5724784445E9	57.45762711864407
1.5805218125E9	0.0
1.5885651805E9	0.0
1.5966085485E9	0.0
1.6046519165E9	60.0
1.6126952845E9	57.99465240641711
1.6207386525E9	60.0
1.6287820205E9	60.0
1.6368253885E9	60.0
1.6448687565E9	60.0
1.6529121245E9	60.0
1.6609554925E9	59.980006664445185
1.6689988605E9	60.0
1.673952087E9	60.0
1.677973771E9	60.0
1.6850855965E9	60.0
1.6931289645E9	60.0
1.7011723325E9	59.09090909090909
1.7092157005E9	60.0
1.7172590685E9	20.0
1.7253024365E9	60.0
1.7333458045E9	60.0
1.7413891725E9	60.0
1.7494325405E9	60.0
1.7574759085E9	57.88450860632982
1.7655192765E9	60.0
1.7735626445E9	60.0
1.7816060125E9	60.0
1.7896493805E9	59.90016638935108
1.7976927485E9	60.0
1.805197742E9	60.0
1.809219426E9	45.5
1.8137794845E9	54.966442953020135
1.8218228525E9	60.0
1.8298662205E9	60.0
1.8379095885E9	60.0
1.8459529565E9	59.94957983193277
1.8539963245E9	58.56046065259117
1.8620396925E9	23.059532780708366
1.8700830605E9	58.21210438645197
1.8781264285E9	60.0
1.8861697965E9	60.0
1.8942131645E9	58.0
1.9022565325E9	60.0
1.9102999005E9	60.0
1.9183432685E9	60.0
1.9263866365E9	60.0
1.9344300045E9	59.90016638935108
1.941109681E9	60.0
1.945131365E9	0.0
1.9505167405E9	60.0
1.9585601085E9	59.625
1.9666034765E9	59.93340732519423
1.9746468445E9	60.0
1.9826902125E9	40.142109199700826
1.9907335805E9	55.0
1.9987769485E9	60.0
2.0068203165E9	60.0
2.0148636845E9	60.0
2.0229070525E9	59.7
2.0309504205E9	60.0
2.0389937885E9	59.96002664890073
2.0470371565E9	59.883495145631066
2.0550805245E9	60.0
2.0631238925E9	60.0
2.0711672605E9	60.0
2.0761159635E9	40.0
2.0801376475E9	0.0
2.0872539965E9	0.0
2.0952973645E9	24.263479710950527
2.1033407325E9	60.0
2.1113841005E9	60.0
2.1194274685E9	59.96629213483146
2.1274708365E9	60.0
2.1355142045E9	60.0
2.1435575725E9	59.950041631973356
2.1516009405E9	60.0
2.1596443085E9	60.0
2.1676876765E9	59.98157813939208
2.1757310445E9	60.0
2.1837744125E9	60.0
2.1896017035E9	60.0
2.1936233875E9	0.0
2.1998611485E9	0.0
2.2079045165E9	0.0
2.2159478845E9	60.0
2.2239912525E9	60.0
2.2320346205E9	60.0
2.2400779885E9	60.0
2.2481213565E9	60.0
2.2561647245E9	60.0
2.2642080925E9	60.0
2.2722514605E9	60.0
2.2802948285E9	60.0
2.2883381965E9	48.0
2.2954054545E9	45.0
2.2994271385E9	0.0
2.3044249325E9	0.0
2.3124683005E9	0.0
2.3205116685E9	0.0
2.3285550365E9	50.0
2.3365984045E9	60.0
2.3446417725E9	60.0
2.3526851405E9	54.911786508524834
2.3607285085E9	60.0
2.3687718765E9	60.0
2.3768152445E9	60.0
2.3848586125E9	60.0
2.3929019805E9	60.0
2.398682941E9	60.0
2.402704625E9	56.68421052631579
2.4089887165E9	60.0
2.4170320845E9	44.96868475991649
2.4250754525E9	54.326647564469916
2.4331188205E9	47.267723102585485
2.4411621885E9	0.0
2.4492055565E9	42.97563049022386
2.4572489245E9	60.0
2.4652922925E9	60.0
2.4733356605E9	60.0
2.4813790285E9	60.0
2.4880906375E9	60.0
2.4921123215E9	0.0
2.4974657645E9	60.0
2.5055091325E9	60.0
2.5135525005E9	60.0
2.5215958685E9	59.966648137854364
2.5296392365E9	60.0
2.5376826045E9	57.165983606557376
2.5457259725E9	60.0
2.5537693405E9	60.0
2.5618127085E9	60.0
2.5698560765E9	60.0
2.573957882E9	0.0
2.577979566E9	60.0
2.5859428125E9	45.0
2.5939861805E9	15.0
2.6020295485E9	60.0
2.6100729165E9	60.0
2.6181162845E9	60.0
2.6261596525E9	60.0
2.6342030205E9	60.0
2.6422463885E9	60.0
2.6502897565E9	60.0
2.6543613645E9	0.0
